Condition,total_reads,mapped_reads,%_barcode_mapped,nb_strains
A_MTX_Trifluoperazine.SRO9_SGN1,86911,85893,98.82868681754898,325
A_MTX_Trifluoperazine.SRO9_DHH1,128888,127150,98.65154242443052,322
A_MTX_Trifluoperazine.ERG27_ACF2,248688,246055,98.94124364665767,322
A_MTX_Trifluoperazine.MID2_MAM33,115889,115001,99.23374953619411,269
A_MTX_Trifluoperazine.TPO1_MID2,130989,128935,98.43192939865179,318
A_MTX_Trifluoperazine.ERG11_ACF2,136963,136011,99.3049217671926,288
A_MTX_Trifluoperazine.PMC1_GTR2,133793,132618,99.12177767147759,281
A_MTX_Trifluoperazine.SSH1_ERG11,210815,206536,97.97025828332899,342
A_MTX_Trifluoperazine.HNM1_ERG11,80626,79512,98.6183117108625,284
A_MTX_Trifluoperazine.MID2_WSC2,109473,108238,98.87186794917469,300
A_MTX_Trifluoperazine.MID2_TPO2,89834,88685,98.72097424137854,301
A_MTX_Trifluoperazine.HUG1_PGM2,60408,59674,98.78492914845715,247
A_MTX_Trifluoperazine.SSH1_PIS1,145639,144298,99.07923015126443,315
A_MTX_Trifluoperazine.ERV25_PIS1,170383,169044,99.2141234747598,315
A_MTX_Trifluoperazine.MID2_PIN2,127053,125350,98.65961449159012,333
A_MTX_Trifluoperazine.ERG11_ERG5,174754,172337,98.616912917587,351
A_MTX_Trifluoperazine.ERV25_EMP47,355274,350683,98.70775795583128,352
A_MTX_Trifluoperazine.ERV25_ORM2,114752,113131,98.58738845510318,343
A_MTX_Trifluoperazine.PLM2_HNM1,93803,93043,99.1897913712781,250
A_MTX_Trifluoperazine.ERG11_PIS1,63782,62589,98.12956633532973,301
A_MTX_Trifluoperazine.HNM1_TPO4,122432,120927,98.77074621014114,325
A_MTX_Trifluoperazine.RET2_SNA3,98835,98188,99.34537360246875,242
A_MTX_Trifluoperazine.ALO1_HYR1,148886,147262,98.90923256719907,318
A_MTX_Trifluoperazine.noPPI_reference,106390,105410,99.07886079518752,327
A_MTX_Trifluoperazine.SSH1_ORM2,108482,107101,98.72697774746041,310
A_MTX_Trifluoperazine.FMP45_HNM1,46335,45668,98.56048343584763,254
A_MTX_Trifluoperazine.TPO1_TPO2,141834,140576,99.1130476472496,317
A_MTX_Trifluoperazine.ADE17_GIS2,175263,172949,98.6796985102389,318
A_MTX_Trifluoperazine.SNA4_VAC8,110632,107681,97.33259816328005,314
A_MTX_Trifluoperazine.ADE17_HYR1,74511,73622,98.80688757364683,305
A_MTX_Trifluoperazine.HUG1_ALO1,9453,9155,96.84756162064953,232
A_MTX_Trifluoperazine.TPO1_TCB2,9162,8929,97.4568871425453,256
A_MTX_Trifluoperazine.ERV25_ERG5,133778,132274,98.8757493758316,332
A_MTX_Trifluoperazine.RET2_EMP70,165043,163856,99.28079349018135,277
A_MTX_Trifluoperazine.HUG1_ADE17,67282,66555,98.91947326179364,267
A_MTX_Trifluoperazine.HNM1_TPO2,119514,117749,98.52318556821795,313
A_MTX_Trifluoperazine.ERG11_MID2,130841,129605,99.0553419799604,321
A_MTX_Trifluoperazine.ERG11_ORM2,194353,192409,98.99975817198603,347
A_MTX_Trifluoperazine.GTR1_SLM4,35710,35195,98.55782693923271,273
A_MTX_Trifluoperazine.SRO9_GIS2,139127,135271,97.22843157690455,358
A_MTX_Trifluoperazine.ERG11_TPO4,190147,187404,98.55743188164946,340
A_MTX_Trifluoperazine.HNM1_MAM33,169110,167374,98.97344923422624,324
A_MTX_Trifluoperazine.ERG11_ERV25,31690,30824,97.26727674345219,304
A_MTX_Trifluoperazine.PMC1_CTR2,100707,99779,99.07851489965941,289
A_MTX_Trifluoperazine.ALO1_ADE17,162062,161086,99.39776135059421,293
A_MTX_Trifluoperazine.ADE17_PGM2,135995,133485,98.15434390970256,286
A_MTX_Trifluoperazine.MID2_RSN1,113676,112396,98.87399275132833,304
A_MTX_Trifluoperazine.HNM1_MID2,59249,58524,98.77635065570726,242
A_MTX_Trifluoperazine.ALO1_UIP4,405965,401324,98.85679799982758,345
A_MTX_Trifluoperazine.FMP45_MEP1,156079,154428,98.94220234624773,310
A_MTX_Trifluoperazine.FMP45_MID2,107600,106393,98.87825278810409,274
A_MTX_Trifluoperazine.MID2_TPO4,72781,71936,98.83898270152925,295
A_MTX_Trifluoperazine.HNM1_RBD2,117483,113379,96.50672863307884,339
A_MTX_Trifluoperazine.ERG11_HYR1,161846,159620,98.62461846446622,353
A_MTX_Trifluoperazine.SNA4_GTR2,106954,105153,98.31609850963966,329
A_MTX_Trifluoperazine.RET2_EMP47,181309,180287,99.43632141813148,286
A_MTX_Trifluoperazine.SSH1_ERV25,117750,116033,98.54182590233546,306
A_MTX_Trifluoperazine.DHH1_LSM3,88255,86882,98.44428077729307,293
A_MTX_Trifluoperazine.HNM1_TPO1,96247,94207,97.88045341672988,309
A_MTX_Trifluoperazine.ERV25_UIP4,170521,168167,98.61952486790483,321
A_MTX_Trifluoperazine.PLM2_SNA3,114283,113217,99.06722784666135,248
A_MTX_Trifluoperazine.ERV25_RBD2,110109,109193,99.16809706745134,278
