strain_id,A_MTX_5-FC.ALO1_HYR1,A_MTX_Fluconazole.ALO1_HYR1,A_MTX_Metformin.ALO1_HYR1,A_MTX_Trifluoperazine.ALO1_HYR1,A_MTX_noDrug.ALO1_HYR1,A_noMTX_5-FC.ALO1_HYR1,A_noMTX_Fluconazole.ALO1_HYR1,A_noMTX_Metformin.ALO1_HYR1,A_noMTX_Trifluoperazine.ALO1_HYR1,A_noMTX_noDrug.ALO1_HYR1,B_MTX_5-FC.ALO1_HYR1,B_MTX_Fluconazole.ALO1_HYR1,B_MTX_Metformin.ALO1_HYR1,B_MTX_Trifluoperazine.ALO1_HYR1,B_MTX_noDrug.ALO1_HYR1,B_noMTX_5-FC.ALO1_HYR1,B_noMTX_Fluconazole.ALO1_HYR1,B_noMTX_Metformin.ALO1_HYR1,B_noMTX_Trifluoperazine.ALO1_HYR1,B_noMTX_noDrug.ALO1_HYR1,T0_noMTX_noDrug.ALO1_HYR1
1005,2.0,2.0,2.0,2.0,7.0,225.0,8.0,81.0,308.0,20.0,1.0,0.0,5.0,0.0,0.0,43.0,36.0,219.0,584,268.0,25.0
1007,1.0,3.0,11.0,1.0,0.0,89.0,47.0,168.0,96.0,21.0,1.0,16.0,3.0,3.0,1.0,39.0,132.0,274.0,170,72.0,16.0
1013,62.0,93.0,23.0,284.0,17973.0,51.0,12.0,21.0,34.0,3.0,382.0,34.0,6.0,161.0,37.0,6.0,84.0,14.0,542,14.0,29.0
1016,0.0,0.0,27.0,4.0,1.0,742.0,31.0,217.0,933.0,108.0,1.0,0.0,19.0,0.0,2.0,169.0,481.0,485.0,1082,582.0,260.0
1018,955.0,657.0,2441.0,740.0,228.0,352.0,12.0,151.0,182.0,46.0,2270.0,716.0,1972.0,920.0,526.0,94.0,91.0,189.0,440,474.0,49.0
1020,375.0,71.0,2226.0,504.0,284.0,432.0,50.0,482.0,544.0,27.0,1295.0,1.0,1810.0,650.0,429.0,84.0,159.0,249.0,1508,523.0,120.0
1025,61.0,92.0,53.0,160.0,41.0,242.0,1468.0,160.0,160.0,37.0,197.0,29.0,41.0,82.0,122.0,73.0,1342.0,178.0,299,266.0,89.0
1027,1.0,5.0,11.0,5.0,1.0,554.0,1185.0,895.0,867.0,64.0,1.0,1.0,15.0,3.0,4.0,84.0,3506.0,730.0,1762,692.0,142.0
1035,32.0,54.0,40.0,94.0,59.0,6.0,6.0,10.0,20.0,1.0,41.0,1.0,27.0,50.0,50.0,3.0,7.0,5.0,47,3.0,2.0
1038,17.0,2.0,249.0,59.0,49.0,173.0,138.0,122.0,121.0,25.0,89.0,3.0,142.0,62.0,34.0,94.0,51.0,300.0,327,207.0,51.0
1040,9.0,26.0,69.0,437.0,31.0,276.0,122.0,403.0,623.0,91.0,40.0,13.0,38.0,43.0,37.0,115.0,17.0,787.0,827,512.0,105.0
