strain_id,A_MTX_5-FC.ERG11_ERG5,A_MTX_Fluconazole.ERG11_ERG5,A_MTX_Metformin.ERG11_ERG5,A_MTX_Trifluoperazine.ERG11_ERG5,A_MTX_noDrug.ERG11_ERG5,A_noMTX_5-FC.ERG11_ERG5,A_noMTX_Fluconazole.ERG11_ERG5,A_noMTX_Metformin.ERG11_ERG5,A_noMTX_Trifluoperazine.ERG11_ERG5,A_noMTX_noDrug.ERG11_ERG5,B_MTX_5-FC.ERG11_ERG5,B_MTX_Fluconazole.ERG11_ERG5,B_MTX_Metformin.ERG11_ERG5,B_MTX_Trifluoperazine.ERG11_ERG5,B_MTX_noDrug.ERG11_ERG5,B_noMTX_5-FC.ERG11_ERG5,B_noMTX_Fluconazole.ERG11_ERG5,B_noMTX_Metformin.ERG11_ERG5,B_noMTX_Trifluoperazine.ERG11_ERG5,B_noMTX_noDrug.ERG11_ERG5,T0_noMTX_noDrug.ERG11_ERG5
1005,5.0,2.0,93.0,31.0,13.0,144.0,13.0,90.0,58.0,84.0,12.0,2.0,19.0,27.0,1.0,57.0,30.0,45.0,46.0,72.0,18.0
1007,48.0,136.0,249.0,38.0,26.0,191.0,62.0,173.0,177.0,475.0,17.0,16.0,109.0,30.0,5.0,248.0,32.0,135.0,191.0,193.0,41.0
1013,2.0,5.0,1.0,27.0,3.0,1.0,0.0,0.0,4.0,7.0,17.0,12.0,2.0,9.0,0.0,4.0,6.0,4.0,2.0,1.0,3.0
1016,4.0,0.0,27.0,32.0,2.0,242.0,91.0,957.0,94.0,326.0,3.0,0.0,43.0,0.0,0.0,266.0,183.0,112.0,88.0,180.0,87.0
1018,222.0,589.0,572.0,551.0,829.0,281.0,38.0,160.0,161.0,473.0,189.0,65.0,441.0,249.0,66.0,190.0,13.0,215.0,183.0,324.0,39.0
1020,490.0,110.0,520.0,2243.0,1849.0,336.0,2.0,346.0,580.0,793.0,341.0,7.0,902.0,809.0,79.0,323.0,108.0,216.0,622.0,508.0,78.0
1025,99.0,20.0,452.0,298.0,114.0,654.0,412.0,652.0,278.0,835.0,91.0,41.0,452.0,116.0,10.0,537.0,621.0,456.0,451.0,639.0,124.0
1027,42.0,740.0,140.0,134.0,98.0,166.0,185.0,184.0,70.0,316.0,61.0,78.0,193.0,37.0,8.0,118.0,58.0,77.0,143.0,144.0,24.0
1035,21.0,20.0,9.0,67.0,9.0,4.0,1.0,3.0,16.0,15.0,11.0,14.0,17.0,17.0,6.0,5.0,9.0,6.0,6.0,2.0,1.0
1038,337.0,14.0,102.0,487.0,353.0,197.0,180.0,177.0,108.0,259.0,181.0,44.0,272.0,188.0,71.0,248.0,67.0,80.0,184.0,210.0,73.0
