strain_id,A_MTX_5-FC.ERG11_MID2,A_MTX_Fluconazole.ERG11_MID2,A_MTX_Metformin.ERG11_MID2,A_MTX_Trifluoperazine.ERG11_MID2,A_MTX_noDrug.ERG11_MID2,A_noMTX_5-FC.ERG11_MID2,A_noMTX_Fluconazole.ERG11_MID2,A_noMTX_Metformin.ERG11_MID2,A_noMTX_Trifluoperazine.ERG11_MID2,A_noMTX_noDrug.ERG11_MID2,B_MTX_5-FC.ERG11_MID2,B_MTX_Fluconazole.ERG11_MID2,B_MTX_Metformin.ERG11_MID2,B_MTX_Trifluoperazine.ERG11_MID2,B_MTX_noDrug.ERG11_MID2,B_noMTX_5-FC.ERG11_MID2,B_noMTX_Fluconazole.ERG11_MID2,B_noMTX_Metformin.ERG11_MID2,B_noMTX_Trifluoperazine.ERG11_MID2,B_noMTX_noDrug.ERG11_MID2,T0_noMTX_noDrug.ERG11_MID2
1005,3.0,3.0,6.0,1.0,3.0,191.0,1.0,172.0,167.0,87.0,14.0,1.0,10.0,1.0,0.0,151.0,7.0,76.0,99.0,116.0,28.0
1007,5.0,41.0,92.0,0.0,16.0,375.0,72.0,277.0,242.0,64.0,49.0,89.0,71.0,11.0,6.0,183.0,387.0,407.0,231.0,161.0,36.0
1013,5.0,3.0,2.0,2.0,14.0,3.0,4.0,3.0,11.0,0.0,3.0,0.0,2.0,3.0,0.0,6.0,8.0,21.0,7.0,14.0,0.0
1016,2.0,3.0,0.0,1.0,6.0,15.0,9.0,8.0,8.0,1.0,0.0,0.0,1.0,0.0,3.0,56.0,2.0,7.0,5.0,19.0,12.0
1018,442.0,200.0,548.0,826.0,3279.0,319.0,1072.0,390.0,415.0,270.0,1293.0,40.0,1001.0,225.0,386.0,372.0,9.0,490.0,333.0,668.0,65.0
1020,1427.0,1628.0,1618.0,3005.0,12713.0,427.0,32.0,475.0,398.0,314.0,3669.0,1503.0,2025.0,2335.0,2557.0,249.0,196.0,862.0,551.0,627.0,105.0
1025,51.0,77.0,89.0,34.0,63.0,501.0,104.0,498.0,451.0,233.0,35.0,44.0,25.0,34.0,34.0,574.0,80.0,435.0,423.0,634.0,95.0
1027,31.0,211.0,220.0,15.0,13.0,279.0,949.0,313.0,104.0,138.0,61.0,180.0,166.0,6.0,1.0,168.0,253.0,304.0,129.0,186.0,32.0
1035,16.0,45.0,3.0,23.0,116.0,4.0,1.0,12.0,8.0,0.0,19.0,13.0,11.0,14.0,7.0,4.0,0.0,17.0,0.0,6.0,2.0
1038,465.0,0.0,56.0,184.0,708.0,275.0,5.0,121.0,434.0,52.0,1016.0,1.0,223.0,179.0,88.0,114.0,20.0,116.0,185.0,157.0,92.0
1040,35.0,52.0,244.0,22.0,65.0,504.0,23.0,374.0,828.0,320.0,76.0,32.0,107.0,21.0,9.0,418.0,46.0,849.0,412.0,501.0,49.0
1046,9.0,22.0,43.0,4.0,13.0,442.0,228.0,249.0,373.0,109.0,24.0,11.0,43.0,2.0,1.0,368.0,27.0,243.0,196.0,236.0,89.0
1050,17.0,5.0,28.0,44.0,378.0,45.0,6.0,40.0,256.0,22.0,13.0,1.0,25.0,10.0,94.0,49.0,1.0,168.0,142.0,27.0,12.0
1065,7.0,5.0,4.0,0.0,5.0,8.0,2.0,9.0,14.0,1.0,6.0,5.0,1.0,1.0,1.0,15.0,2.0,33.0,3.0,13.0,4.0
1069,2368.0,6624.0,1558.0,1766.0,7337.0,1391.0,764.0,1707.0,1157.0,419.0,5991.0,2182.0,2614.0,1601.0,972.0,874.0,575.0,1777.0,1075.0,1434.0,488.0
107,15.0,6.0,34.0,3.0,14.0,91.0,1.0,62.0,192.0,72.0,36.0,13.0,36.0,9.0,0.0,117.0,14.0,218.0,158.0,114.0,19.0
113,74.0,31.0,99.0,202.0,366.0,441.0,2.0,372.0,657.0,115.0,674.0,11.0,124.0,122.0,29.0,89.0,2.0,158.0,216.0,392.0,102.0
119,2.0,6.0,0.0,5.0,22.0,3.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0
124,187.0,41.0,152.0,108.0,423.0,137.0,2.0,91.0,262.0,57.0,419.0,4.0,49.0,117.0,84.0,72.0,5.0,57.0,114.0,148.0,19.0
128,4.0,20.0,16.0,0.0,1.0,209.0,6.0,97.0,141.0,54.0,10.0,4.0,44.0,0.0,2.0,133.0,6.0,124.0,158.0,108.0,54.0
132,84.0,77.0,207.0,31.0,85.0,317.0,11.0,287.0,246.0,193.0,67.0,17.0,212.0,14.0,2.0,161.0,9.0,845.0,215.0,380.0,89.0
133,32.0,2.0,40.0,17.0,1.0,131.0,0.0,151.0,724.0,78.0,7.0,2.0,36.0,13.0,1.0,141.0,111.0,133.0,195.0,139.0,16.0
136,6.0,61.0,17.0,4.0,6.0,52.0,0.0,90.0,254.0,51.0,2.0,64.0,40.0,1.0,0.0,38.0,5.0,100.0,155.0,135.0,28.0
