strain_id,A_MTX_5-FC.ERG11_ORM2,A_MTX_Fluconazole.ERG11_ORM2,A_MTX_Metformin.ERG11_ORM2,A_MTX_Trifluoperazine.ERG11_ORM2,A_MTX_noDrug.ERG11_ORM2,A_noMTX_5-FC.ERG11_ORM2,A_noMTX_Fluconazole.ERG11_ORM2,A_noMTX_Metformin.ERG11_ORM2,A_noMTX_Trifluoperazine.ERG11_ORM2,A_noMTX_noDrug.ERG11_ORM2,B_MTX_5-FC.ERG11_ORM2,B_MTX_Fluconazole.ERG11_ORM2,B_MTX_Metformin.ERG11_ORM2,B_MTX_Trifluoperazine.ERG11_ORM2,B_MTX_noDrug.ERG11_ORM2,B_noMTX_5-FC.ERG11_ORM2,B_noMTX_Fluconazole.ERG11_ORM2,B_noMTX_Metformin.ERG11_ORM2,B_noMTX_Trifluoperazine.ERG11_ORM2,B_noMTX_noDrug.ERG11_ORM2,T0_noMTX_noDrug.ERG11_ORM2
1005,5.0,1.0,49.0,3.0,1.0,148.0,4346.0,128.0,88.0,127.0,10.0,0.0,5.0,6.0,1.0,271.0,6.0,40.0,240.0,241.0,18.0
1007,2.0,21.0,21.0,0.0,3.0,199.0,48.0,322.0,138.0,106.0,0.0,8.0,23.0,0.0,1.0,122.0,12.0,114.0,75.0,166.0,12.0
1013,2.0,0.0,0.0,11.0,4.0,5.0,8.0,0.0,9.0,12.0,4.0,3.0,0.0,0.0,191.0,3.0,3.0,1.0,3.0,15.0,0.0
1016,3.0,3.0,5.0,14.0,12.0,25.0,10.0,47.0,42.0,46.0,1.0,0.0,96.0,0.0,3.0,20.0,3.0,13.0,21.0,105.0,5.0
1018,520.0,245.0,784.0,2238.0,2224.0,463.0,10.0,397.0,184.0,352.0,316.0,42.0,299.0,1131.0,4393.0,222.0,102.0,110.0,332.0,527.0,23.0
1020,63.0,8.0,108.0,152.0,194.0,105.0,8.0,104.0,68.0,113.0,38.0,7.0,76.0,69.0,303.0,166.0,4.0,45.0,171.0,191.0,20.0
1025,8.0,6.0,34.0,22.0,7.0,260.0,1614.0,332.0,90.0,283.0,5.0,11.0,36.0,3.0,6.0,150.0,26.0,40.0,217.0,496.0,42.0
1027,5.0,11.0,105.0,16.0,3.0,303.0,21.0,138.0,31.0,178.0,4.0,17.0,224.0,0.0,1.0,224.0,14.0,19.0,84.0,166.0,6.0
1035,12.0,8.0,15.0,29.0,20.0,12.0,15.0,8.0,5.0,6.0,18.0,7.0,22.0,11.0,15.0,3.0,3.0,1.0,8.0,40.0,4.0
1038,88.0,8.0,149.0,218.0,146.0,126.0,21.0,199.0,196.0,142.0,78.0,0.0,106.0,96.0,517.0,97.0,9.0,106.0,139.0,311.0,23.0
1040,11.0,8.0,65.0,69.0,20.0,172.0,37.0,152.0,222.0,179.0,5.0,3.0,61.0,9.0,84.0,200.0,17.0,125.0,146.0,491.0,12.0
1046,4.0,11.0,36.0,6.0,3.0,62.0,20.0,126.0,73.0,100.0,0.0,2.0,46.0,3.0,2.0,39.0,3.0,16.0,55.0,155.0,23.0
1050,33.0,2.0,46.0,112.0,16.0,40.0,2.0,82.0,38.0,39.0,10.0,3.0,239.0,22.0,64.0,43.0,2.0,8.0,52.0,174.0,4.0
1065,2.0,16.0,59.0,11.0,8.0,62.0,3.0,144.0,64.0,57.0,13.0,10.0,31.0,3.0,13.0,83.0,0.0,21.0,42.0,532.0,2.0
1069,472.0,402.0,432.0,503.0,421.0,306.0,1759.0,639.0,175.0,280.0,548.0,378.0,624.0,246.0,986.0,297.0,360.0,176.0,358.0,495.0,39.0
107,1.0,1.0,48.0,4.0,1.0,99.0,174.0,44.0,22.0,50.0,2.0,1.0,8.0,1.0,0.0,91.0,5.0,8.0,37.0,74.0,7.0
113,12.0,8.0,2.0,7.0,5.0,6.0,11.0,3.0,5.0,7.0,18.0,1.0,1.0,1.0,2.0,4.0,6.0,2.0,5.0,9.0,6.0
119,4.0,0.0,1.0,11.0,9.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,8.0,4.0,3.0,0.0,2.0,15.0,0.0
124,28.0,1.0,30.0,152.0,190.0,14.0,5.0,25.0,3.0,15.0,26.0,4.0,7.0,21.0,96.0,47.0,3.0,8.0,9.0,15.0,6.0
128,2.0,8.0,6.0,2.0,1.0,49.0,13.0,57.0,18.0,25.0,0.0,1.0,12.0,1.0,0.0,38.0,9.0,11.0,125.0,63.0,20.0
