strain_id,A_MTX_5-FC.ERG11_TPO4,A_MTX_Fluconazole.ERG11_TPO4,A_MTX_Metformin.ERG11_TPO4,A_MTX_Trifluoperazine.ERG11_TPO4,A_MTX_noDrug.ERG11_TPO4,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_Fluconazole.ERG11_TPO4,A_noMTX_Metformin.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_noDrug.ERG11_TPO4,B_MTX_5-FC.ERG11_TPO4,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Metformin.ERG11_TPO4,B_MTX_Trifluoperazine.ERG11_TPO4,B_MTX_noDrug.ERG11_TPO4,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Metformin.ERG11_TPO4,B_noMTX_Trifluoperazine.ERG11_TPO4,B_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.ERG11_TPO4
1005,0.0,0.0,2.0,0.0,1.0,7.0,4.0,36.0,80.0,37.0,1.0,1.0,0.0,0.0,2.0,51.0,8.0,26.0,50.0,65.0,7.0
1007,10.0,40.0,537.0,11.0,3.0,181.0,400.0,384.0,223.0,111.0,4.0,59.0,189.0,0.0,41.0,225.0,14.0,109.0,196.0,166.0,32.0
1013,2.0,1.0,1.0,2.0,5.0,4.0,0.0,3.0,22.0,6.0,10.0,4.0,1.0,0.0,20.0,10.0,0.0,5.0,0.0,5.0,0.0
1016,7.0,2.0,10.0,4.0,23.0,335.0,89.0,111.0,131.0,119.0,3.0,0.0,1.0,0.0,71.0,113.0,14.0,51.0,76.0,88.0,43.0
1018,1398.0,23774.0,2360.0,1744.0,3783.0,214.0,700.0,353.0,510.0,525.0,633.0,16.0,1045.0,491.0,9777.0,431.0,46.0,315.0,230.0,489.0,39.0
1020,3922.0,31.0,3167.0,4460.0,5192.0,193.0,155.0,263.0,573.0,412.0,1685.0,9.0,635.0,2080.0,14643.0,590.0,57.0,336.0,563.0,489.0,105.0
1025,66.0,46.0,114.0,60.0,44.0,266.0,53.0,253.0,345.0,412.0,52.0,22.0,39.0,16.0,203.0,354.0,79.0,190.0,236.0,366.0,87.0
1027,5.0,12.0,124.0,6.0,2.0,23.0,105.0,15.0,76.0,49.0,0.0,1.0,16.0,1.0,16.0,71.0,84.0,31.0,21.0,42.0,11.0
1035,26.0,31.0,12.0,39.0,34.0,3.0,5.0,8.0,21.0,1.0,30.0,8.0,10.0,14.0,119.0,9.0,3.0,5.0,2.0,1.0,1.0
1038,1126.0,2.0,1449.0,1194.0,1632.0,631.0,16.0,529.0,600.0,221.0,540.0,1.0,603.0,657.0,4283.0,357.0,20.0,128.0,326.0,459.0,94.0
