strain_id,A_MTX_5-FC.ERV25_EMP47,A_MTX_Fluconazole.ERV25_EMP47,A_MTX_Metformin.ERV25_EMP47,A_MTX_Trifluoperazine.ERV25_EMP47,A_MTX_noDrug.ERV25_EMP47,A_noMTX_5-FC.ERV25_EMP47,A_noMTX_Fluconazole.ERV25_EMP47,A_noMTX_Metformin.ERV25_EMP47,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_noDrug.ERV25_EMP47,B_MTX_5-FC.ERV25_EMP47,B_MTX_Fluconazole.ERV25_EMP47,B_MTX_Metformin.ERV25_EMP47,B_MTX_Trifluoperazine.ERV25_EMP47,B_MTX_noDrug.ERV25_EMP47,B_noMTX_5-FC.ERV25_EMP47,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Metformin.ERV25_EMP47,B_noMTX_Trifluoperazine.ERV25_EMP47,B_noMTX_noDrug.ERV25_EMP47,T0_noMTX_noDrug.ERV25_EMP47
1005,0.0,1.0,1.0,5.0,1.0,32.0,68.0,49.0,281.0,527.0,0.0,0.0,2.0,1.0,0.0,1263,11.0,35.0,28.0,37.0,83.0
1007,3.0,35.0,17.0,2.0,3.0,57.0,108.0,229.0,94.0,136.0,2.0,1.0,13.0,1.0,1.0,306,6.0,72.0,37.0,27.0,16.0
1013,5.0,7.0,1.0,12.0,5.0,5.0,18.0,13.0,29.0,179.0,5.0,741.0,2.0,1.0,12.0,293,1.0,2.0,4.0,6.0,1.0
1016,15.0,8.0,4.0,18.0,17.0,238.0,39.0,140.0,98.0,1137.0,3.0,0.0,22.0,5.0,3.0,3942,20.0,34.0,49.0,382.0,107.0
1018,2050.0,27106.0,2871.0,12083.0,4371.0,365.0,190.0,662.0,525.0,2981.0,4620.0,19.0,11281.0,8347.0,2395.0,6771,44.0,228.0,102.0,289.0,199.0
1020,2591.0,3469.0,4744.0,17537.0,3161.0,437.0,362.0,2136.0,3198.0,4367.0,2452.0,588.0,14925.0,13219.0,1480.0,8736,315.0,1155.0,405.0,289.0,355.0
1025,12.0,36.0,25.0,79.0,18.0,258.0,386.0,393.0,376.0,2141.0,7.0,5.0,22.0,13.0,21.0,4706,1062.0,286.0,53.0,214.0,147.0
1027,3.0,15.0,11.0,21.0,1.0,65.0,769.0,318.0,547.0,1522.0,0.0,0.0,21.0,1.0,2.0,2225,36.0,301.0,39.0,88.0,89.0
1035,38.0,4.0,23.0,159.0,33.0,4.0,8.0,4.0,16.0,22.0,29.0,6.0,29.0,33.0,36.0,62,1.0,2.0,9.0,4.0,1.0
1038,198.0,28.0,160.0,516.0,372.0,342.0,51.0,570.0,460.0,766.0,383.0,0.0,496.0,330.0,152.0,2646,28.0,127.0,103.0,248.0,75.0
1040,23.0,70.0,29.0,153.0,27.0,165.0,39.0,324.0,436.0,1091.0,17.0,7.0,42.0,12.0,66.0,1555,66.0,188.0,128.0,189.0,207.0
1046,4.0,33.0,4.0,56.0,5.0,68.0,13.0,134.0,314.0,476.0,2.0,1.0,9.0,2.0,9.0,1128,170.0,49.0,25.0,116.0,51.0
1050,35.0,14.0,36.0,81.0,13.0,8.0,7.0,17.0,20.0,50.0,15.0,2.0,29.0,30.0,46.0,196,4.0,7.0,10.0,9.0,5.0
