strain_id,A_MTX_5-FC.ERV25_UIP4,A_MTX_Fluconazole.ERV25_UIP4,A_MTX_Metformin.ERV25_UIP4,A_MTX_Trifluoperazine.ERV25_UIP4,A_MTX_noDrug.ERV25_UIP4,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_Fluconazole.ERV25_UIP4,A_noMTX_Metformin.ERV25_UIP4,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_noDrug.ERV25_UIP4,B_MTX_5-FC.ERV25_UIP4,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Metformin.ERV25_UIP4,B_MTX_Trifluoperazine.ERV25_UIP4,B_MTX_noDrug.ERV25_UIP4,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Metformin.ERV25_UIP4,B_noMTX_Trifluoperazine.ERV25_UIP4,B_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ERV25_UIP4
1005,1.0,1.0,1.0,1.0,0.0,73.0,39.0,71.0,201.0,34.0,1.0,1.0,6.0,0.0,0.0,87.0,36.0,31.0,388,132.0,99.0
1007,0.0,9.0,7.0,1.0,0.0,178.0,34.0,250.0,142.0,20.0,2.0,11.0,12.0,1.0,2.0,156.0,28.0,463.0,509,68.0,42.0
1013,20.0,24.0,5.0,5.0,186.0,6.0,19.0,4.0,24.0,3.0,126.0,171.0,8.0,12.0,2.0,10.0,15.0,16.0,197,6.0,7.0
1016,1.0,0.0,34.0,4.0,2.0,306.0,185.0,124.0,324.0,185.0,2.0,0.0,24.0,1.0,1.0,213.0,84.0,145.0,470,691.0,192.0
1018,851.0,490.0,1595.0,1018.0,1316.0,274.0,332.0,250.0,210.0,100.0,2029.0,34.0,1734.0,478.0,319.0,347.0,30.0,96.0,741,425.0,120.0
1020,3076.0,3.0,2779.0,2539.0,628.0,382.0,37.0,604.0,924.0,104.0,7768.0,20.0,2335.0,2763.0,1075.0,1148.0,22.0,422.0,1878,324.0,168.0
1025,88.0,89.0,30.0,42.0,44.0,588.0,484.0,413.0,386.0,154.0,102.0,44.0,42.0,61.0,101.0,774.0,525.0,241.0,700,658.0,325.0
1027,7.0,39.0,18.0,0.0,0.0,410.0,2565.0,391.0,644.0,102.0,8.0,1.0,13.0,3.0,1.0,939.0,124.0,330.0,1811,448.0,121.0
1035,34.0,25.0,44.0,123.0,50.0,7.0,5.0,1.0,16.0,4.0,43.0,22.0,35.0,47.0,34.0,7.0,7.0,10.0,34,6.0,2.0
1038,961.0,1.0,2185.0,1209.0,526.0,567.0,35.0,701.0,525.0,301.0,2775.0,1.0,919.0,674.0,237.0,441.0,22.0,821.0,1452,394.0,150.0
1040,23.0,10.0,40.0,151.0,18.0,324.0,114.0,306.0,557.0,165.0,30.0,15.0,37.0,27.0,12.0,459.0,83.0,301.0,1040,340.0,282.0
1046,1.0,1.0,15.0,13.0,0.0,70.0,147.0,48.0,225.0,18.0,4.0,0.0,8.0,2.0,1.0,71.0,31.0,39.0,298,114.0,79.0
1050,11.0,0.0,37.0,57.0,4.0,15.0,2.0,15.0,37.0,3.0,21.0,0.0,33.0,11.0,8.0,18.0,7.0,7.0,54,18.0,7.0
1065,13.0,49.0,46.0,7.0,3.0,20.0,1.0,15.0,44.0,16.0,13.0,21.0,72.0,6.0,4.0,38.0,5.0,3.0,61,40.0,26.0
1069,2364.0,1197.0,2052.0,1855.0,1527.0,212.0,109.0,378.0,431.0,100.0,5200.0,3215.0,1169.0,1122.0,1848.0,411.0,116.0,279.0,1459,198.0,94.0
107,1.0,2.0,2.0,14.0,2.0,9.0,6.0,3.0,5.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,5.0,2.0,19,1.0,1.0
113,6.0,18.0,9.0,4.0,0.0,4.0,7.0,8.0,8.0,2.0,8.0,13.0,9.0,1.0,0.0,4.0,10.0,5.0,19,4.0,3.0
119,5.0,13.0,6.0,7.0,4.0,5.0,2.0,6.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,2.0,4.0,1.0,12,4.0,1.0
124,191.0,48.0,381.0,142.0,587.0,55.0,26.0,40.0,45.0,29.0,209.0,0.0,149.0,79.0,84.0,61.0,2.0,23.0,46,76.0,38.0
128,1.0,0.0,4.0,2.0,2.0,349.0,44.0,211.0,612.0,71.0,1.0,1.0,2.0,1.0,0.0,419.0,84.0,171.0,1072,156.0,84.0
132,1.0,3.0,9.0,0.0,3.0,349.0,31.0,455.0,958.0,205.0,5.0,7.0,11.0,3.0,1.0,791.0,93.0,483.0,1648,496.0,143.0
133,0.0,1.0,19.0,0.0,0.0,150.0,6.0,66.0,176.0,92.0,1.0,0.0,7.0,0.0,0.0,115.0,23.0,103.0,245,274.0,46.0
136,0.0,0.0,3.0,0.0,0.0,32.0,6.0,55.0,71.0,16.0,1.0,2.0,1.0,2.0,0.0,73.0,115.0,63.0,375,57.0,20.0
14,71.0,13.0,101.0,74.0,34.0,39.0,5.0,40.0,36.0,29.0,64.0,6.0,51.0,138.0,44.0,24.0,4.0,35.0,114,28.0,16.0
146,440.0,54.0,3228.0,335.0,208.0,1632.0,961.0,1772.0,1646.0,504.0,794.0,36.0,1624.0,282.0,118.0,1810.0,722.0,1391.0,4689,1123.0,385.0
15,174.0,5.0,363.0,76.0,158.0,189.0,10.0,54.0,98.0,58.0,215.0,0.0,241.0,73.0,87.0,75.0,3.0,88.0,227,178.0,122.0
151,1.0,4.0,4.0,9.0,1.0,13.0,8.0,13.0,34.0,2.0,7.0,3.0,14.0,2.0,3.0,19.0,5.0,11.0,45,6.0,7.0
153,3.0,0.0,2.0,1.0,1.0,160.0,167.0,50.0,122.0,83.0,0.0,0.0,6.0,2.0,1.0,134.0,358.0,54.0,138,208.0,114.0
17,2.0,10.0,4.0,4.0,0.0,1.0,5.0,3.0,5.0,1.0,0.0,3.0,6.0,6.0,0.0,1.0,0.0,3.0,23,2.0,2.0
171,203.0,7.0,41.0,73.0,96.0,55.0,54.0,17.0,54.0,23.0,380.0,1.0,40.0,79.0,106.0,45.0,39.0,35.0,85,65.0,141.0
175,1.0,0.0,1.0,1.0,0.0,23.0,2.0,5.0,18.0,11.0,2.0,0.0,5.0,1.0,1.0,22.0,8.0,1.0,49,65.0,14.0
