strain_id,A_MTX_5-FC.FMP45_HNM1,A_MTX_Fluconazole.FMP45_HNM1,A_MTX_Metformin.FMP45_HNM1,A_MTX_Trifluoperazine.FMP45_HNM1,A_MTX_noDrug.FMP45_HNM1,A_noMTX_5-FC.FMP45_HNM1,A_noMTX_Fluconazole.FMP45_HNM1,A_noMTX_Metformin.FMP45_HNM1,A_noMTX_Trifluoperazine.FMP45_HNM1,A_noMTX_noDrug.FMP45_HNM1,B_MTX_5-FC.FMP45_HNM1,B_MTX_Fluconazole.FMP45_HNM1,B_MTX_Metformin.FMP45_HNM1,B_MTX_Trifluoperazine.FMP45_HNM1,B_MTX_noDrug.FMP45_HNM1,B_noMTX_5-FC.FMP45_HNM1,B_noMTX_Fluconazole.FMP45_HNM1,B_noMTX_Metformin.FMP45_HNM1,B_noMTX_Trifluoperazine.FMP45_HNM1,B_noMTX_noDrug.FMP45_HNM1,T0_noMTX_noDrug.FMP45_HNM1
1005,2.0,0.0,1.0,0.0,0.0,59.0,3.0,61.0,133.0,19.0,0.0,1.0,0.0,0.0,0.0,53.0,151.0,94.0,38.0,136.0,23.0
1007,1.0,1.0,2.0,0.0,1.0,39.0,22.0,49.0,45.0,5.0,1.0,0.0,0.0,4.0,0.0,34.0,192.0,42.0,27.0,52.0,14.0
1013,11.0,3.0,18.0,10.0,16.0,15.0,6.0,5.0,15.0,3.0,43.0,15.0,1.0,12.0,4.0,17.0,5.0,7.0,9.0,27.0,2.0
1016,0.0,0.0,1.0,0.0,0.0,148.0,251.0,95.0,418.0,44.0,4.0,1.0,4.0,2.0,0.0,78.0,11.0,137.0,157.0,259.0,101.0
1018,230.0,144.0,220.0,338.0,219.0,262.0,128.0,182.0,214.0,41.0,514.0,22.0,312.0,122.0,36.0,176.0,96.0,259.0,123.0,290.0,61.0
1020,628.0,21.0,960.0,192.0,188.0,894.0,87.0,1623.0,902.0,81.0,1681.0,5.0,1711.0,271.0,74.0,693.0,8.0,1610.0,270.0,821.0,209.0
1025,20.0,49.0,14.0,19.0,15.0,1496.0,190.0,1168.0,667.0,142.0,17.0,27.0,6.0,26.0,3.0,675.0,75.0,1580.0,229.0,1595.0,245.0
1027,2.0,3.0,4.0,2.0,2.0,161.0,22.0,253.0,156.0,16.0,1.0,0.0,3.0,0.0,1.0,107.0,95.0,328.0,50.0,301.0,54.0
1035,18.0,54.0,5.0,8.0,12.0,2.0,2.0,4.0,15.0,0.0,27.0,9.0,6.0,15.0,4.0,0.0,2.0,18.0,2.0,18.0,4.0
1038,317.0,7.0,95.0,397.0,402.0,264.0,105.0,123.0,252.0,40.0,1881.0,0.0,254.0,225.0,131.0,92.0,23.0,231.0,94.0,145.0,86.0
1040,17.0,22.0,20.0,13.0,12.0,974.0,614.0,646.0,1189.0,179.0,37.0,4.0,12.0,33.0,5.0,462.0,858.0,855.0,496.0,1327.0,170.0
1046,3.0,3.0,3.0,0.0,4.0,138.0,290.0,70.0,84.0,12.0,1.0,1.0,2.0,2.0,0.0,25.0,96.0,118.0,35.0,76.0,32.0
1050,36.0,0.0,28.0,30.0,8.0,89.0,4.0,113.0,256.0,36.0,45.0,3.0,107.0,8.0,2.0,73.0,5.0,151.0,26.0,115.0,30.0
1065,3.0,10.0,0.0,0.0,2.0,2.0,0.0,56.0,3.0,1.0,13.0,12.0,0.0,2.0,0.0,1.0,26.0,7.0,4.0,14.0,3.0
1069,905.0,610.0,44.0,328.0,1213.0,245.0,388.0,138.0,283.0,31.0,2226.0,260.0,139.0,796.0,290.0,149.0,574.0,309.0,134.0,369.0,87.0
107,3.0,2.0,2.0,2.0,1.0,12.0,4.0,26.0,22.0,4.0,6.0,1.0,1.0,3.0,0.0,21.0,6.0,37.0,20.0,47.0,13.0
