strain_id,A_MTX_5-FC.HNM1_MID2,A_MTX_Fluconazole.HNM1_MID2,A_MTX_Metformin.HNM1_MID2,A_MTX_Trifluoperazine.HNM1_MID2,A_MTX_noDrug.HNM1_MID2,A_noMTX_5-FC.HNM1_MID2,A_noMTX_Fluconazole.HNM1_MID2,A_noMTX_Metformin.HNM1_MID2,A_noMTX_Trifluoperazine.HNM1_MID2,A_noMTX_noDrug.HNM1_MID2,B_MTX_5-FC.HNM1_MID2,B_MTX_Fluconazole.HNM1_MID2,B_MTX_Metformin.HNM1_MID2,B_MTX_Trifluoperazine.HNM1_MID2,B_MTX_noDrug.HNM1_MID2,B_noMTX_5-FC.HNM1_MID2,B_noMTX_Fluconazole.HNM1_MID2,B_noMTX_Metformin.HNM1_MID2,B_noMTX_Trifluoperazine.HNM1_MID2,B_noMTX_noDrug.HNM1_MID2,T0_noMTX_noDrug.HNM1_MID2
1005,0.0,1.0,5.0,0.0,0.0,70.0,1.0,29.0,37,7.0,0.0,3.0,2.0,0.0,0.0,59.0,14.0,36.0,25.0,16.0,21.0
1007,1.0,8.0,65.0,0.0,0.0,150.0,94.0,117.0,139,31.0,5.0,6.0,38.0,1.0,2.0,84.0,131.0,124.0,45.0,63.0,35.0
1013,5.0,29.0,3.0,18.0,6.0,20.0,14.0,2.0,27,2.0,16.0,1.0,0.0,2.0,11.0,1.0,6.0,4.0,17.0,9.0,4.0
1016,1.0,0.0,1.0,0.0,4.0,21.0,23.0,5.0,43,0.0,1.0,0.0,2.0,0.0,1.0,4.0,9.0,9.0,15.0,18.0,5.0
1018,265.0,224.0,364.0,179.0,399.0,554.0,47.0,446.0,401,37.0,1389.0,25.0,379.0,140.0,178.0,182.0,45.0,369.0,89.0,120.0,38.0
1020,1528.0,165.0,794.0,1449.0,2555.0,1144.0,82.0,906.0,724,45.0,9762.0,8.0,1690.0,1314.0,1783.0,221.0,85.0,989.0,275.0,196.0,158.0
1025,15.0,43.0,78.0,9.0,12.0,752.0,431.0,348.0,359,23.0,21.0,24.0,100.0,11.0,6.0,231.0,208.0,495.0,209.0,239.0,78.0
1027,4.0,19.0,64.0,0.0,0.0,224.0,237.0,228.0,60,3.0,3.0,1.0,160.0,0.0,0.0,78.0,90.0,208.0,47.0,64.0,37.0
1035,11.0,17.0,3.0,10.0,23.0,3.0,3.0,3.0,8,0.0,34.0,6.0,11.0,14.0,6.0,1.0,1.0,8.0,2.0,2.0,3.0
1038,661.0,33.0,214.0,435.0,775.0,447.0,93.0,325.0,563,52.0,4223.0,1.0,690.0,549.0,533.0,282.0,173.0,330.0,180.0,132.0,207.0
1040,14.0,20.0,91.0,10.0,8.0,1475.0,110.0,849.0,1519,134.0,30.0,6.0,225.0,16.0,9.0,551.0,336.0,1086.0,467.0,306.0,123.0
1046,1.0,3.0,26.0,0.0,0.0,215.0,186.0,125.0,274,9.0,9.0,0.0,40.0,2.0,0.0,131.0,51.0,244.0,91.0,82.0,87.0
