strain_id,A_MTX_5-FC.HNM1_TPO1,A_MTX_Fluconazole.HNM1_TPO1,A_MTX_Metformin.HNM1_TPO1,A_MTX_Trifluoperazine.HNM1_TPO1,A_MTX_noDrug.HNM1_TPO1,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_Fluconazole.HNM1_TPO1,A_noMTX_Metformin.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_noDrug.HNM1_TPO1,B_MTX_5-FC.HNM1_TPO1,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Metformin.HNM1_TPO1,B_MTX_Trifluoperazine.HNM1_TPO1,B_MTX_noDrug.HNM1_TPO1,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Metformin.HNM1_TPO1,B_noMTX_Trifluoperazine.HNM1_TPO1,B_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.HNM1_TPO1
1005,2.0,1.0,2.0,1.0,5.0,3.0,2.0,7.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,5.0,27.0,6.0,4.0,8.0,2.0
1007,0.0,26.0,193.0,2.0,0.0,788.0,540.0,403.0,16.0,306.0,1.0,1.0,181.0,6.0,2.0,435.0,527.0,400.0,821.0,344.0,116.0
1013,2.0,4.0,5.0,3.0,54.0,8.0,7.0,4.0,5.0,1.0,2.0,1.0,4.0,1.0,0.0,6.0,1.0,6.0,4.0,5.0,3.0
1016,4.0,0.0,6.0,3.0,0.0,18.0,4.0,33.0,17.0,20.0,1.0,0.0,4.0,0.0,1.0,44.0,8.0,7.0,29.0,32.0,8.0
1018,28.0,19.0,64.0,52.0,38.0,19.0,12.0,25.0,22.0,15.0,57.0,18.0,100.0,63.0,24.0,26.0,13.0,14.0,18.0,22.0,4.0
1020,128.0,1.0,121.0,216.0,66.0,259.0,68.0,218.0,17.0,108.0,242.0,52.0,177.0,200.0,39.0,166.0,128.0,187.0,120.0,80.0,33.0
1025,89.0,103.0,26.0,66.0,32.0,538.0,62.0,172.0,12.0,232.0,184.0,42.0,36.0,54.0,58.0,333.0,126.0,127.0,142.0,81.0,91.0
1027,1.0,2.0,17.0,1.0,0.0,51.0,57.0,90.0,15.0,45.0,1.0,0.0,10.0,0.0,0.0,62.0,453.0,99.0,31.0,72.0,31.0
1035,30.0,63.0,23.0,49.0,22.0,8.0,5.0,7.0,1.0,6.0,37.0,5.0,9.0,53.0,23.0,8.0,2.0,3.0,4.0,6.0,0.0
1038,1203.0,43.0,1057.0,1751.0,536.0,1424.0,749.0,940.0,31.0,573.0,2299.0,5.0,838.0,1149.0,1037.0,1066.0,365.0,517.0,926.0,587.0,262.0
1040,11.0,22.0,51.0,25.0,15.0,258.0,20.0,85.0,31.0,455.0,15.0,3.0,47.0,15.0,6.0,204.0,21.0,82.0,101.0,98.0,49.0
1046,3.0,2.0,24.0,1.0,0.0,31.0,19.0,54.0,3.0,15.0,1.0,0.0,34.0,4.0,0.0,19.0,177.0,36.0,37.0,17.0,17.0
1050,20.0,1.0,127.0,176.0,61.0,40.0,1.0,27.0,10.0,23.0,56.0,20.0,26.0,113.0,59.0,31.0,122.0,28.0,12.0,47.0,5.0
1065,4.0,37.0,2.0,5.0,3.0,0.0,1.0,5.0,0.0,0.0,5.0,16.0,11.0,0.0,4.0,2.0,5.0,2.0,1.0,0.0,2.0
1069,10370.0,50295.0,4485.0,9544.0,16629.0,4029.0,6445.0,4131.0,69.0,2659.0,18918.0,60874.0,4783.0,14708.0,16376.0,2172.0,4731.0,2146.0,1939.0,1680.0,616.0
107,1.0,2.0,3.0,1.0,0.0,8.0,6.0,1.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,4.0,2.0,9.0,2.0,1.0
113,6.0,6.0,6.0,13.0,13.0,7.0,7.0,25.0,9.0,2.0,14.0,2.0,10.0,6.0,12.0,8.0,15.0,6.0,9.0,7.0,4.0
119,4.0,3.0,2.0,5.0,4.0,4.0,11.0,4.0,1.0,2.0,5.0,0.0,3.0,3.0,6.0,3.0,5.0,1.0,5.0,1.0,1.0
124,219.0,34.0,185.0,179.0,312.0,63.0,32.0,54.0,1.0,97.0,281.0,0.0,112.0,167.0,261.0,32.0,2.0,62.0,26.0,41.0,15.0
128,0.0,0.0,11.0,1.0,0.0,468.0,32.0,315.0,16.0,153.0,2.0,0.0,20.0,2.0,4.0,314.0,134.0,195.0,144.0,131.0,147.0
132,2.0,5.0,168.0,0.0,0.0,550.0,87.0,735.0,21.0,335.0,3.0,1.0,140.0,4.0,0.0,325.0,39.0,480.0,455.0,241.0,139.0
133,1.0,1.0,1.0,1.0,0.0,4.0,7.0,4.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,3.0,3.0,0.0
136,0.0,1.0,4.0,2.0,0.0,3.0,3.0,9.0,2.0,4.0,1.0,0.0,1.0,2.0,1.0,9.0,4.0,2.0,3.0,7.0,1.0
14,211.0,32.0,548.0,516.0,181.0,293.0,25.0,220.0,28.0,160.0,458.0,0.0,281.0,706.0,390.0,170.0,39.0,174.0,214.0,212.0,50.0
146,1651.0,110.0,3085.0,2095.0,929.0,5924.0,3752.0,4275.0,125.0,2727.0,2705.0,18.0,2490.0,1808.0,1667.0,3641.0,2674.0,2935.0,4063.0,1909.0,822.0
15,13.0,4.0,13.0,3.0,5.0,10.0,4.0,10.0,6.0,5.0,22.0,1.0,5.0,7.0,5.0,21.0,4.0,33.0,17.0,8.0,10.0
151,1.0,2.0,8.0,0.0,0.0,164.0,0.0,43.0,7.0,156.0,1.0,2.0,12.0,1.0,0.0,63.0,3.0,29.0,30.0,32.0,42.0
153,0.0,0.0,17.0,0.0,0.0,73.0,17.0,42.0,1.0,149.0,1.0,1.0,17.0,2.0,0.0,35.0,47.0,37.0,70.0,31.0,13.0
17,1.0,20.0,9.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,7.0,6.0,3.0,0.0,2.0,3.0,2.0,1.0,3.0,0.0
171,3.0,7.0,12.0,9.0,2.0,5.0,2.0,4.0,7.0,5.0,15.0,0.0,5.0,27.0,2.0,7.0,5.0,4.0,8.0,6.0,10.0
175,0.0,0.0,1.0,0.0,0.0,183.0,109.0,46.0,4.0,101.0,4.0,0.0,5.0,0.0,0.0,114.0,115.0,72.0,283.0,39.0,44.0
180,0.0,0.0,2.0,0.0,0.0,122.0,5.0,47.0,4.0,106.0,1.0,1.0,3.0,1.0,0.0,86.0,7.0,41.0,110.0,18.0,42.0
180_2,3.0,7.0,193.0,2.0,3.0,120.0,42.0,72.0,18.0,54.0,7.0,10.0,59.0,4.0,0.0,122.0,75.0,53.0,174.0,59.0,39.0
185,4.0,8.0,8.0,10.0,9.0,5.0,1.0,8.0,3.0,4.0,9.0,2.0,7.0,12.0,0.0,6.0,5.0,8.0,2.0,6.0,1.0
187,0.0,0.0,8.0,0.0,0.0,13.0,5.0,45.0,7.0,50.0,0.0,0.0,7.0,3.0,0.0,15.0,9.0,14.0,14.0,6.0,8.0
188,4.0,32.0,59.0,0.0,1.0,155.0,6.0,50.0,6.0,128.0,3.0,16.0,69.0,16.0,3.0,66.0,2.0,74.0,60.0,23.0,29.0
192,8.0,63.0,18.0,17.0,7.0,11.0,82.0,30.0,11.0,11.0,18.0,31.0,11.0,12.0,11.0,31.0,50.0,29.0,23.0,13.0,5.0
20,0.0,0.0,2.0,0.0,0.0,22.0,11.0,16.0,3.0,15.0,2.0,1.0,5.0,5.0,0.0,16.0,45.0,9.0,7.0,3.0,6.0
209,2.0,3.0,60.0,0.0,1.0,120.0,39.0,91.0,10.0,72.0,1.0,1.0,26.0,8.0,3.0,160.0,95.0,91.0,140.0,170.0,91.0
210,1.0,1.0,4.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,7.0,3.0,0.0,7.0,2.0,6.0,4.0,4.0,2.0
226,1.0,3.0,8.0,6.0,4.0,33.0,36.0,16.0,1.0,13.0,11.0,0.0,9.0,5.0,2.0,18.0,40.0,11.0,16.0,3.0,26.0
235,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,2.0,1.0,0.0
240,1.0,1.0,1.0,0.0,0.0,4.0,1.0,5.0,6.0,7.0,1.0,0.0,1.0,2.0,2.0,14.0,5.0,9.0,3.0,3.0,1.0
248,1.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,1.0,2.0,1.0,0.0,5.0,1.0,2.0,8.0,1.0,5.0,2.0,2.0,0.0
250,0.0,10.0,3.0,0.0,1.0,19.0,1.0,13.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,13.0,23.0,6.0,14.0,6.0,4.0
252,11.0,3.0,11.0,39.0,110.0,3.0,26.0,7.0,2.0,9.0,24.0,0.0,14.0,23.0,59.0,5.0,19.0,12.0,5.0,3.0,2.0
253,6.0,4.0,36.0,8.0,7.0,12.0,23.0,36.0,17.0,14.0,10.0,2.0,22.0,7.0,2.0,22.0,32.0,18.0,8.0,24.0,2.0
254,0.0,8.0,38.0,0.0,0.0,30.0,455.0,43.0,9.0,12.0,1.0,1.0,16.0,3.0,3.0,26.0,7.0,36.0,86.0,40.0,32.0
257,8.0,4.0,10.0,3.0,2.0,13.0,1559.0,16.0,4.0,16.0,10.0,0.0,2.0,8.0,7.0,16.0,722.0,13.0,38.0,11.0,47.0
258,169.0,24.0,107.0,223.0,116.0,302.0,159.0,182.0,13.0,96.0,328.0,8.0,89.0,206.0,140.0,313.0,325.0,139.0,292.0,84.0,48.0
27,1.0,0.0,2.0,2.0,0.0,5.0,2.0,11.0,3.0,1.0,2.0,0.0,8.0,3.0,1.0,4.0,8.0,6.0,3.0,2.0,1.0
270,0.0,0.0,1.0,0.0,0.0,2.0,13.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,197.0,0.0,0.0,2.0,1.0
271,0.0,0.0,26.0,0.0,0.0,43.0,5.0,56.0,18.0,8.0,2.0,1.0,21.0,1.0,0.0,54.0,5.0,17.0,39.0,7.0,20.0
272,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,2.0,3.0,3.0,3.0,2.0
277,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,4.0
