strain_id,A_MTX_5-FC.SNA4_GTR2,A_MTX_Fluconazole.SNA4_GTR2,A_MTX_Metformin.SNA4_GTR2,A_MTX_Trifluoperazine.SNA4_GTR2,A_MTX_noDrug.SNA4_GTR2,A_noMTX_5-FC.SNA4_GTR2,A_noMTX_Fluconazole.SNA4_GTR2,A_noMTX_Metformin.SNA4_GTR2,A_noMTX_Trifluoperazine.SNA4_GTR2,A_noMTX_noDrug.SNA4_GTR2,B_MTX_5-FC.SNA4_GTR2,B_MTX_Fluconazole.SNA4_GTR2,B_MTX_Metformin.SNA4_GTR2,B_MTX_Trifluoperazine.SNA4_GTR2,B_MTX_noDrug.SNA4_GTR2,B_noMTX_5-FC.SNA4_GTR2,B_noMTX_Fluconazole.SNA4_GTR2,B_noMTX_Metformin.SNA4_GTR2,B_noMTX_Trifluoperazine.SNA4_GTR2,B_noMTX_noDrug.SNA4_GTR2,T0_noMTX_noDrug.SNA4_GTR2
1005,0.0,5.0,0.0,1.0,1.0,45.0,12.0,22.0,76.0,129.0,0.0,0.0,23,2.0,0.0,38.0,7.0,14.0,79.0,45.0,21.0
1007,4.0,5.0,9.0,1.0,3.0,76.0,159.0,113.0,76.0,151.0,0.0,1.0,7,4.0,1.0,105.0,222.0,130.0,115.0,179.0,37.0
1013,5.0,0.0,9.0,2.0,34.0,7.0,4.0,1.0,6.0,15.0,30.0,9.0,184,10.0,0.0,3.0,19.0,6.0,8.0,0.0,1.0
1016,0.0,0.0,11.0,0.0,0.0,200.0,2.0,176.0,113.0,1408.0,1.0,0.0,16,1.0,0.0,358.0,2.0,69.0,267.0,398.0,93.0
1018,79.0,142.0,585.0,193.0,124.0,120.0,79.0,226.0,136.0,344.0,72.0,81.0,5600,272.0,255.0,239.0,130.0,153.0,149.0,400.0,38.0
1020,170.0,6.0,181.0,100.0,219.0,130.0,110.0,98.0,148.0,303.0,122.0,3.0,1354,217.0,65.0,178.0,837.0,255.0,236.0,156.0,45.0
1025,5.0,4.0,35.0,5.0,8.0,284.0,152.0,135.0,176.0,816.0,11.0,5.0,76,10.0,2.0,388.0,168.0,164.0,366.0,482.0,127.0
1027,0.0,39.0,11.0,1.0,0.0,212.0,122.0,55.0,149.0,258.0,0.0,1.0,27,2.0,0.0,219.0,587.0,272.0,265.0,204.0,39.0
1035,23.0,28.0,16.0,39.0,35.0,14.0,6.0,5.0,13.0,18.0,14.0,15.0,210,40.0,11.0,5.0,5.0,3.0,7.0,2.0,1.0
1038,186.0,4.0,88.0,200.0,107.0,111.0,23.0,172.0,121.0,350.0,77.0,6.0,508,151.0,183.0,158.0,53.0,103.0,197.0,306.0,69.0
