strain_id,A_noMTX_Trifluoperazine.ERG11_MID2,A_noMTX_Trifluoperazine.TPO1_TCB2,A_noMTX_Trifluoperazine.SNA4_GTR2,A_noMTX_Trifluoperazine.HNM1_MID2,A_noMTX_Trifluoperazine.SNA4_VAC8,A_noMTX_Trifluoperazine.noPPI_reference,A_noMTX_Trifluoperazine.RET2_EMP70,A_noMTX_Trifluoperazine.SRO9_GIS2,A_noMTX_Trifluoperazine.MID2_MAM33,A_noMTX_Trifluoperazine.RET2_SNA3,A_noMTX_Trifluoperazine.HNM1_RBD2,A_noMTX_Trifluoperazine.TPO1_MID2,A_noMTX_Trifluoperazine.ERV25_PIS1,A_noMTX_Trifluoperazine.ALO1_ADE17,A_noMTX_Trifluoperazine.ERV25_ORM2,A_noMTX_Trifluoperazine.ADE17_HYR1,A_noMTX_Trifluoperazine.ERG11_HYR1,A_noMTX_Trifluoperazine.PMC1_CTR2,A_noMTX_Trifluoperazine.FMP45_MEP1,A_noMTX_Trifluoperazine.ERV25_EMP47,A_noMTX_Trifluoperazine.ADE17_PGM2,A_noMTX_Trifluoperazine.FMP45_MID2,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_ERV25,A_noMTX_Trifluoperazine.HUG1_ADE17,A_noMTX_Trifluoperazine.PLM2_HNM1,A_noMTX_Trifluoperazine.SRO9_SGN1,A_noMTX_Trifluoperazine.HUG1_PGM2,A_noMTX_Trifluoperazine.ADE17_GIS2,A_noMTX_Trifluoperazine.GTR1_SLM4,A_noMTX_Trifluoperazine.TPO1_TPO2,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO2,A_noMTX_Trifluoperazine.ALO1_UIP4,A_noMTX_Trifluoperazine.MID2_WSC2,A_noMTX_Trifluoperazine.ERG11_PIS1,A_noMTX_Trifluoperazine.ERG11_ERG5,A_noMTX_Trifluoperazine.ERV25_RBD2,A_noMTX_Trifluoperazine.SSH1_PIS1,A_noMTX_Trifluoperazine.SRO9_DHH1,A_noMTX_Trifluoperazine.HNM1_MAM33,A_noMTX_Trifluoperazine.SSH1_ERG11,A_noMTX_Trifluoperazine.SSH1_ORM2,A_noMTX_Trifluoperazine.ERG11_ORM2,A_noMTX_Trifluoperazine.RET2_EMP47,A_noMTX_Trifluoperazine.DHH1_LSM3,A_noMTX_Trifluoperazine.MID2_TPO2,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_Trifluoperazine.PLM2_SNA3,A_noMTX_Trifluoperazine.ALO1_HYR1,A_noMTX_Trifluoperazine.HUG1_ALO1,A_noMTX_Trifluoperazine.HNM1_TPO4,A_noMTX_Trifluoperazine.SSH1_ERV25,A_noMTX_Trifluoperazine.ERV25_ERG5,A_noMTX_Trifluoperazine.FMP45_HNM1,A_noMTX_Trifluoperazine.HNM1_ERG11,A_noMTX_Trifluoperazine.MID2_TPO4,A_noMTX_Trifluoperazine.MID2_RSN1,A_noMTX_Trifluoperazine.ERG27_ACF2,A_noMTX_Trifluoperazine.PMC1_GTR2,A_noMTX_Trifluoperazine.MID2_PIN2,A_noMTX_Trifluoperazine.ERG11_ACF2
1005,167.0,4.0,76.0,37,4.0,62.0,12.0,64.0,13.0,5.0,7.0,34.0,56.0,36.0,133.0,9.0,96.0,36.0,172.0,281.0,3.0,109.0,80.0,17.0,82.0,193.0,154.0,77.0,4.0,12.0,49.0,3.0,18.0,255.0,118.0,31.0,58.0,4.0,392.0,153.0,68.0,149.0,256.0,88.0,25.0,55.0,315.0,201.0,491.0,308.0,10.0,62.0,63.0,175.0,133.0,10.0,133.0,53.0,198.0,67.0,92.0,5.0
1007,242.0,2.0,76.0,139,7.0,62.0,7.0,33.0,305.0,6.0,31.0,14.0,32.0,282.0,19.0,258.0,254.0,166.0,263.0,94.0,273.0,57.0,223.0,140.0,29.0,326.0,303.0,828.0,14.0,7.0,12.0,16.0,58.0,447.0,5.0,385.0,177.0,26.0,118.0,188.0,164.0,73.0,21.0,138.0,10.0,154.0,158.0,142.0,22.0,96.0,184.0,534.0,209.0,141.0,45.0,65.0,162.0,113.0,138.0,681.0,204.0,5.0
1013,11.0,0.0,6.0,27,5.0,34.0,7.0,11.0,6.0,2.0,13.0,0.0,38.0,9.0,22.0,28.0,15.0,3.0,7.0,29.0,0.0,24.0,22.0,13.0,21.0,15.0,31.0,8.0,5.0,18.0,2.0,5.0,7.0,35.0,1.0,1.0,4.0,14.0,9.0,15.0,6.0,12.0,28.0,9.0,4.0,7.0,4.0,24.0,4.0,34.0,40.0,3.0,18.0,7.0,15.0,4.0,18.0,11.0,2.0,3.0,10.0,5.0
1016,8.0,4.0,113.0,43,3.0,103.0,6.0,593.0,164.0,2.0,4.0,81.0,11.0,463.0,80.0,11.0,12.0,54.0,121.0,98.0,9.0,100.0,131.0,75.0,201.0,8.0,1172.0,462.0,243.0,7.0,102.0,17.0,19.0,415.0,469.0,323.0,94.0,1103.0,5.0,187.0,42.0,27.0,10.0,42.0,9.0,95.0,135.0,324.0,6.0,933.0,45.0,194.0,7.0,24.0,418.0,9.0,222.0,125.0,171.0,191.0,241.0,7.0
1018,415.0,3.0,136.0,401,14.0,95.0,10.0,237.0,51.0,8.0,353.0,8.0,638.0,268.0,724.0,128.0,138.0,52.0,76.0,525.0,94.0,220.0,510.0,1070.0,16.0,105.0,229.0,90.0,116.0,74.0,21.0,22.0,14.0,498.0,23.0,179.0,161.0,22.0,19.0,211.0,30.0,91.0,74.0,184.0,11.0,60.0,91.0,210.0,26.0,182.0,38.0,30.0,145.0,104.0,214.0,13.0,47.0,66.0,181.0,256.0,54.0,11.0
1020,398.0,26.0,148.0,724,9.0,232.0,15.0,323.0,111.0,16.0,720.0,750.0,16.0,642.0,354.0,27.0,155.0,369.0,684.0,3198.0,183.0,793.0,573.0,240.0,1627.0,219.0,194.0,2812.0,18.0,55.0,667.0,17.0,231.0,1038.0,408.0,499.0,580.0,39.0,183.0,479.0,23.0,229.0,138.0,68.0,15.0,120.0,441.0,924.0,5.0,544.0,2023.0,35.0,284.0,419.0,902.0,51.0,551.0,738.0,188.0,735.0,431.0,20.0
1025,451.0,17.0,176.0,359,96.0,119.0,48.0,356.0,104.0,15.0,172.0,383.0,285.0,136.0,514.0,28.0,86.0,215.0,452.0,376.0,20.0,381.0,345.0,537.0,52.0,97.0,748.0,168.0,1532.0,900.0,314.0,12.0,179.0,639.0,115.0,167.0,278.0,384.0,121.0,383.0,77.0,244.0,1058.0,90.0,34.0,167.0,391.0,386.0,535.0,160.0,21.0,80.0,244.0,126.0,667.0,44.0,142.0,157.0,102.0,458.0,240.0,21.0
1027,104.0,2.0,149.0,60,10.0,175.0,6.0,183.0,58.0,1.0,4.0,8.0,115.0,27.0,65.0,1081.0,29.0,28.0,374.0,547.0,26.0,65.0,76.0,51.0,22.0,22.0,365.0,27.0,183.0,57.0,41.0,15.0,93.0,1043.0,77.0,101.0,70.0,247.0,5.0,203.0,19.0,111.0,175.0,31.0,2.0,51.0,174.0,644.0,6.0,867.0,3.0,23.0,302.0,222.0,156.0,15.0,48.0,112.0,178.0,37.0,53.0,10.0
1035,8.0,4.0,13.0,8,15.0,1.0,4.0,19.0,3.0,1.0,8.0,9.0,10.0,6.0,6.0,13.0,10.0,2.0,18.0,16.0,2.0,21.0,21.0,36.0,5.0,11.0,22.0,11.0,9.0,41.0,7.0,1.0,15.0,83.0,10.0,5.0,16.0,3.0,7.0,6.0,7.0,23.0,7.0,5.0,3.0,20.0,13.0,16.0,1.0,20.0,8.0,5.0,9.0,11.0,15.0,1.0,9.0,16.0,36.0,4.0,12.0,4.0
1038,434.0,5.0,121.0,563,211.0,248.0,9.0,22.0,97.0,4.0,63.0,36.0,62.0,372.0,469.0,336.0,103.0,97.0,152.0,460.0,2008.0,202.0,600.0,762.0,42.0,108.0,30.0,132.0,90.0,17.0,76.0,31.0,169.0,200.0,4.0,459.0,108.0,60.0,73.0,43.0,392.0,319.0,737.0,196.0,8.0,327.0,24.0,525.0,79.0,121.0,129.0,570.0,120.0,194.0,252.0,118.0,25.0,41.0,343.0,167.0,103.0,14.0
