strain_id,B_MTX_5-FC.ALO1_HYR1,B_MTX_5-FC.SNA4_GTR2,B_MTX_5-FC.ERV25_UIP4,B_MTX_5-FC.PLM2_SNA3,B_MTX_5-FC.PMC1_CTR2,B_MTX_5-FC.SSH1_PIS1,B_MTX_5-FC.ALO1_UIP4,B_MTX_5-FC.ERG11_MID2,B_MTX_5-FC.noPPI_reference,B_MTX_5-FC.ERG11_ACF2,B_MTX_5-FC.ERV25_PIS1,B_MTX_5-FC.HNM1_MAM33,B_MTX_5-FC.ADE17_PGM2,B_MTX_5-FC.TPO1_TCB2,B_MTX_5-FC.HNM1_TPO1,B_MTX_5-FC.ERG11_ERG5,B_MTX_5-FC.ERV25_EMP47,B_MTX_5-FC.SSH1_ORM2,B_MTX_5-FC.ADE17_HYR1,B_MTX_5-FC.GTR1_SLM4,B_MTX_5-FC.HNM1_RBD2,B_MTX_5-FC.TPO1_TPO2,B_MTX_5-FC.ALO1_ADE17,B_MTX_5-FC.MID2_TPO4,B_MTX_5-FC.SSH1_ERG11,B_MTX_5-FC.MID2_TPO2,B_MTX_5-FC.FMP45_MID2,B_MTX_5-FC.FMP45_HNM1,B_MTX_5-FC.HNM1_ERG11,B_MTX_5-FC.ERV25_ERG5,B_MTX_5-FC.ERG27_ACF2,B_MTX_5-FC.HNM1_MID2,B_MTX_5-FC.ERV25_ORM2,B_MTX_5-FC.HUG1_ALO1,B_MTX_5-FC.ERG11_TPO4,B_MTX_5-FC.SRO9_SGN1,B_MTX_5-FC.MID2_RSN1,B_MTX_5-FC.DHH1_LSM3,B_MTX_5-FC.RET2_SNA3,B_MTX_5-FC.MID2_PIN2,B_MTX_5-FC.HNM1_TPO2,B_MTX_5-FC.RET2_EMP47,B_MTX_5-FC.ERG11_PIS1,B_MTX_5-FC.HUG1_PGM2,B_MTX_5-FC.MID2_MAM33,B_MTX_5-FC.SRO9_DHH1,B_MTX_5-FC.ADE17_GIS2,B_MTX_5-FC.MID2_WSC2,B_MTX_5-FC.SNA4_VAC8,B_MTX_5-FC.SSH1_ERV25,B_MTX_5-FC.PLM2_HNM1,B_MTX_5-FC.PMC1_GTR2,B_MTX_5-FC.ERV25_RBD2,B_MTX_5-FC.FMP45_MEP1,B_MTX_5-FC.ERG11_ERV25,B_MTX_5-FC.RET2_EMP70,B_MTX_5-FC.ERG11_HYR1,B_MTX_5-FC.TPO1_MID2,B_MTX_5-FC.ERG11_ORM2,B_MTX_5-FC.HNM1_TPO4,B_MTX_5-FC.SRO9_GIS2,B_MTX_5-FC.HUG1_ADE17
1005,1.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,2.0,60.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,6.0,3.0,1.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,48.0,0.0,13.0,1.0,10.0,1.0,40.0,2.0
1007,1.0,0.0,2.0,7.0,2.0,0.0,1.0,49.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,17.0,2.0,1.0,1.0,2.0,17.0,23.0,1.0,0.0,3.0,2.0,4.0,1.0,0.0,4.0,1.0,5.0,6.0,2.0,4.0,6.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,51.0,4.0,0.0,3.0,3.0,4.0
1013,382.0,30.0,126.0,0.0,114.0,3.0,81.0,3.0,58.0,1.0,3.0,2.0,2.0,24.0,2.0,17.0,5.0,1.0,1.0,15.0,3.0,27.0,955.0,46.0,4.0,7.0,51.0,43.0,10.0,17.0,0.0,16.0,2.0,272.0,10.0,133.0,8.0,4.0,0.0,4.0,6.0,4.0,33.0,261.0,6.0,110.0,2.0,3.0,3.0,5.0,0.0,28.0,8.0,226.0,5.0,5.0,0.0,16.0,4.0,2.0,322.0,67.0
1016,1.0,1.0,2.0,3.0,4.0,2.0,2.0,0.0,0.0,3.0,6.0,1.0,0.0,2.0,1.0,3.0,3.0,6.0,0.0,3.0,1.0,98.0,1.0,0.0,0.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,185.0,2.0,3.0,195.0,0.0,15.0,1.0,4.0,3.0,2.0,6.0,5.0,7.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,4.0,1.0,2.0,0.0,1.0,2.0,78.0,38.0
1018,2270.0,72.0,2029.0,115.0,492.0,30.0,1201.0,1293.0,908.0,480.0,83.0,614.0,31.0,57.0,57.0,189.0,4620.0,95.0,20.0,144.0,3447.0,73.0,37.0,748.0,521.0,385.0,851.0,514.0,798.0,389.0,2011.0,1389.0,2015.0,906.0,633.0,2550.0,144.0,1252.0,43.0,95.0,85.0,50.0,379.0,2425.0,274.0,605.0,24.0,49.0,64.0,634.0,607.0,521.0,90.0,63.0,226.0,61.0,32.0,25.0,316.0,370.0,830.0,87.0
1020,1295.0,122.0,7768.0,78.0,971.0,298.0,824.0,3669.0,368.0,255.0,83.0,76.0,21.0,1925.0,242.0,341.0,2452.0,67.0,25.0,161.0,100.0,2618.0,1448.0,3832.0,720.0,1574.0,1807.0,1681.0,4725.0,2139.0,196.0,9762.0,508.0,8720.0,1685.0,5259.0,3864.0,453.0,97.0,367.0,1302.0,43.0,1386.0,12480.0,268.0,1420.0,20.0,81.0,45.0,471.0,325.0,674.0,166.0,395.0,713.0,110.0,227.0,1271.0,38.0,238.0,1945.0,1749.0
1025,197.0,11.0,102.0,1.0,163.0,15.0,12.0,35.0,4.0,7.0,14920.0,86.0,3.0,5.0,184.0,91.0,7.0,17.0,5.0,25.0,7.0,134.0,2.0,13.0,10.0,9.0,13.0,17.0,13.0,25.0,12.0,21.0,82.0,13.0,52.0,198.0,18.0,30.0,3.0,10.0,120.0,126.0,4.0,11.0,4.0,7.0,113.0,8.0,11.0,7.0,2.0,13.0,9.0,17.0,702.0,5.0,20.0,6.0,5.0,9.0,218.0,8.0
1027,1.0,0.0,8.0,1.0,0.0,2.0,4.0,61.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,61.0,0.0,2.0,0.0,2.0,1.0,34.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,17.0,0.0,3.0,52.0,3.0,0.0,15.0,2.0,4.0,2.0,3.0,2.0,0.0,6.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,21.0,157.0,0.0,39.0,0.0,4.0,1.0,140.0,1.0
1035,41.0,14.0,43.0,3.0,60.0,24.0,37.0,19.0,11.0,19.0,37.0,44.0,11.0,24.0,37.0,11.0,29.0,19.0,17.0,27.0,22.0,27.0,11.0,25.0,36.0,12.0,11.0,27.0,31.0,35.0,44.0,34.0,23.0,58.0,30.0,71.0,35.0,26.0,13.0,26.0,21.0,33.0,17.0,95.0,47.0,37.0,21.0,8.0,20.0,26.0,9.0,43.0,61.0,16.0,72.0,42.0,9.0,7.0,18.0,22.0,24.0,73.0
1038,89.0,77.0,2775.0,30.0,30.0,99.0,528.0,1016.0,81.0,81.0,28.0,174.0,17.0,2.0,2299.0,181.0,383.0,943.0,31.0,83.0,102.0,128.0,925.0,55.0,1387.0,181.0,544.0,1881.0,1522.0,1403.0,18.0,4223.0,2445.0,178.0,540.0,56.0,11.0,1976.0,12.0,40.0,586.0,4.0,176.0,34.0,20.0,176.0,19.0,11.0,1689.0,302.0,94.0,51.0,388.0,88.0,1047.0,7.0,93.0,86.0,78.0,1253.0,173.0,26.0
