strain_id,B_noMTX_Fluconazole.ERV25_EMP47,B_noMTX_Fluconazole.ERG11_ACF2,B_noMTX_Fluconazole.HNM1_ERG11,B_noMTX_Fluconazole.SSH1_ERG11,B_noMTX_Fluconazole.HUG1_ALO1,B_noMTX_Fluconazole.ADE17_PGM2,B_noMTX_Fluconazole.ALO1_HYR1,B_noMTX_Fluconazole.DHH1_LSM3,B_noMTX_Fluconazole.noPPI_reference,B_noMTX_Fluconazole.MID2_PIN2,B_noMTX_Fluconazole.PLM2_HNM1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Fluconazole.RET2_EMP47,B_noMTX_Fluconazole.SSH1_ORM2,B_noMTX_Fluconazole.MID2_MAM33,B_noMTX_Fluconazole.ERG11_ERV25,B_noMTX_Fluconazole.RET2_SNA3,B_noMTX_Fluconazole.SSH1_PIS1,B_noMTX_Fluconazole.ERG11_HYR1,B_noMTX_Fluconazole.SRO9_DHH1,B_noMTX_Fluconazole.SSH1_ERV25,B_noMTX_Fluconazole.ADE17_GIS2,B_noMTX_Fluconazole.FMP45_MID2,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Fluconazole.ERG27_ACF2,B_noMTX_Fluconazole.MID2_WSC2,B_noMTX_Fluconazole.SRO9_SGN1,B_noMTX_Fluconazole.GTR1_SLM4,B_noMTX_Fluconazole.HUG1_ADE17,B_noMTX_Fluconazole.SRO9_GIS2,B_noMTX_Fluconazole.SNA4_GTR2,B_noMTX_Fluconazole.PMC1_CTR2,B_noMTX_Fluconazole.MID2_RSN1,B_noMTX_Fluconazole.ALO1_UIP4,B_noMTX_Fluconazole.PLM2_SNA3,B_noMTX_Fluconazole.HNM1_TPO2,B_noMTX_Fluconazole.ERG11_MID2,B_noMTX_Fluconazole.ERV25_ERG5,B_noMTX_Fluconazole.HNM1_MAM33,B_noMTX_Fluconazole.SNA4_VAC8,B_noMTX_Fluconazole.HNM1_TPO4,B_noMTX_Fluconazole.ERG11_ERG5,B_noMTX_Fluconazole.ERG11_ORM2,B_noMTX_Fluconazole.FMP45_MEP1,B_noMTX_Fluconazole.HUG1_PGM2,B_noMTX_Fluconazole.TPO1_TPO2,B_noMTX_Fluconazole.RET2_EMP70,B_noMTX_Fluconazole.HNM1_RBD2,B_noMTX_Fluconazole.ERV25_ORM2,B_noMTX_Fluconazole.ERV25_PIS1,B_noMTX_Fluconazole.MID2_TPO4,B_noMTX_Fluconazole.PMC1_GTR2,B_noMTX_Fluconazole.FMP45_HNM1,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Fluconazole.ADE17_HYR1,B_noMTX_Fluconazole.ERG11_PIS1,B_noMTX_Fluconazole.TPO1_TCB2,B_noMTX_Fluconazole.MID2_TPO2,B_noMTX_Fluconazole.TPO1_MID2,B_noMTX_Fluconazole.ALO1_ADE17,B_noMTX_Fluconazole.ERV25_RBD2,B_noMTX_Fluconazole.HNM1_MID2
1005,11.0,4.0,4.0,4.0,14.0,8.0,36.0,322.0,5.0,9.0,14.0,27.0,6.0,8.0,92.0,2069.0,8.0,14.0,11.0,10.0,38.0,0.0,8.0,36.0,696.0,42.0,15.0,2.0,8.0,5.0,7.0,36.0,7.0,180.0,772.0,29.0,7.0,61.0,186.0,0.0,197.0,30.0,6.0,31.0,14.0,16.0,14.0,6.0,637.0,11.0,37.0,245.0,151.0,8.0,6.0,2.0,32.0,6.0,7.0,5.0,3.0,14.0
1007,6.0,48.0,76.0,1.0,223.0,2.0,132.0,21.0,18.0,45.0,17302.0,527.0,3.0,1.0,137.0,5.0,2.0,32.0,26.0,3178.0,11.0,16.0,162.0,28.0,378.0,36.0,132.0,59.0,28.0,23.0,222.0,255.0,2.0,126.0,212.0,89.0,387.0,13.0,15.0,3.0,239.0,32.0,12.0,9.0,14.0,44.0,3.0,33.0,1.0,1.0,71.0,685.0,192.0,14.0,374.0,17.0,5.0,43.0,6.0,359.0,95.0,131.0
1013,1.0,1.0,5.0,4.0,26.0,1.0,84.0,15.0,2.0,8.0,22.0,1.0,1.0,1.0,17.0,1.0,0.0,2.0,1.0,9.0,1.0,3.0,5.0,15.0,2.0,7.0,1.0,16.0,10.0,6.0,19.0,21.0,0.0,47.0,7.0,0.0,8.0,2.0,2.0,1.0,2.0,6.0,3.0,80.0,0.0,11.0,1.0,2.0,26.0,1.0,1.0,19.0,5.0,0.0,10.0,1.0,0.0,1.0,2.0,40.0,33.0,6.0
1016,20.0,26.0,32.0,462.0,210.0,6.0,481.0,16.0,15.0,119.0,2.0,8.0,7.0,0.0,79.0,14.0,21.0,3.0,10.0,456.0,32.0,16.0,11.0,84.0,140.0,2005.0,760.0,0.0,1274.0,1528.0,2.0,125.0,93.0,321.0,5.0,17.0,2.0,7.0,7.0,17.0,17.0,183.0,3.0,309.0,8.0,120.0,66.0,60.0,3.0,7.0,10932.0,28.0,11.0,14.0,20.0,24.0,471.0,260.0,59.0,464.0,20.0,9.0
1018,44.0,31.0,9.0,4.0,28.0,9.0,91.0,96.0,41.0,35.0,126.0,13.0,1.0,25.0,204.0,14.0,4.0,27.0,3.0,92.0,14.0,114.0,159.0,30.0,126.0,6.0,697.0,10.0,10.0,61.0,130.0,67.0,28.0,119.0,11.0,93.0,9.0,27.0,46.0,17.0,19.0,13.0,102.0,16.0,26.0,5.0,2.0,8.0,6137.0,101.0,33.0,62.0,96.0,46.0,1124.0,21.0,6.0,127.0,1.0,404.0,11.0,45.0
1020,315.0,10.0,78.0,174.0,5240.0,10.0,159.0,150.0,1.0,56.0,116.0,128.0,6.0,0.0,49.0,5.0,10.0,127.0,28.0,58.0,138.0,5.0,183.0,22.0,156.0,581.0,16.0,10.0,80.0,58.0,837.0,461.0,9.0,234.0,13.0,8.0,196.0,303.0,9.0,3.0,9.0,108.0,4.0,29.0,9.0,128.0,7.0,5.0,33.0,7.0,131.0,212.0,8.0,57.0,17.0,60.0,167.0,6.0,306.0,522.0,32.0,85.0
1025,1062.0,809.0,54.0,134.0,83.0,69.0,1342.0,461.0,28.0,28.0,25.0,126.0,51.0,13.0,78.0,596.0,23.0,189.0,22.0,197.0,333.0,6416.0,112.0,525.0,44.0,275.0,1062.0,480.0,36.0,661.0,168.0,622.0,20.0,1275.0,70.0,65.0,80.0,344.0,314.0,783.0,76.0,621.0,26.0,280.0,29.0,828.0,38.0,23.0,224.0,149.0,380.0,995.0,75.0,79.0,137.0,158.0,1836.0,260.0,215.0,699.0,1260.0,208.0
1027,36.0,513.0,10132.0,264.0,10.0,114.0,3506.0,107.0,47.0,9.0,434.0,453.0,14.0,79.0,61.0,33.0,11.0,14.0,14.0,245.0,220.0,1428.0,116.0,124.0,927.0,532.0,171.0,128.0,45.0,618.0,587.0,123.0,3.0,13.0,77.0,2453.0,253.0,206.0,160.0,67.0,468.0,58.0,14.0,467.0,7.0,31.0,4.0,4.0,346.0,22.0,9.0,13.0,95.0,84.0,1981.0,282.0,12.0,20.0,7.0,33.0,1095.0,90.0
1035,1.0,4.0,5.0,3.0,20.0,2.0,7.0,118.0,0.0,0.0,4.0,2.0,1.0,1.0,18.0,9.0,6.0,3.0,1.0,3.0,3.0,2.0,4.0,7.0,2.0,1.0,9.0,4.0,7.0,4.0,5.0,16.0,4.0,6.0,4.0,8.0,0.0,1.0,7.0,5.0,4.0,9.0,3.0,4.0,28.0,2.0,10.0,2.0,10.0,1.0,1.0,14.0,2.0,3.0,2.0,7.0,1.0,1.0,2.0,1.0,5.0,1.0
1038,28.0,45.0,11.0,119.0,218.0,1.0,51.0,42.0,7.0,3.0,18.0,365.0,1.0,20.0,16.0,2.0,1.0,63.0,3.0,121.0,914.0,25.0,135.0,22.0,34.0,3.0,3.0,7.0,4.0,7.0,53.0,13.0,4.0,16.0,18.0,75.0,20.0,136.0,7.0,175.0,368.0,67.0,9.0,140.0,1.0,3.0,3.0,651.0,40.0,1.0,9.0,20.0,23.0,20.0,117.0,16.0,16.0,6.0,112.0,70.0,25.0,173.0
