strain_id,B_noMTX_noDrug.MID2_MAM33,B_noMTX_noDrug.ERV25_RBD2,B_noMTX_noDrug.ERV25_ERG5,B_noMTX_noDrug.MID2_TPO2,B_noMTX_noDrug.TPO1_MID2,B_noMTX_noDrug.TPO1_TCB2,B_noMTX_noDrug.RET2_EMP47,B_noMTX_noDrug.RET2_EMP70,B_noMTX_noDrug.PMC1_GTR2,B_noMTX_noDrug.FMP45_HNM1,B_noMTX_noDrug.ERG11_ORM2,B_noMTX_noDrug.ALO1_UIP4,B_noMTX_noDrug.SRO9_SGN1,B_noMTX_noDrug.HUG1_ADE17,B_noMTX_noDrug.ALO1_HYR1,B_noMTX_noDrug.FMP45_MID2,B_noMTX_noDrug.SNA4_VAC8,B_noMTX_noDrug.SSH1_ORM2,B_noMTX_noDrug.ERG11_ERV25,B_noMTX_noDrug.ERG11_ACF2,B_noMTX_noDrug.ADE17_PGM2,B_noMTX_noDrug.HUG1_PGM2,B_noMTX_noDrug.SRO9_GIS2,B_noMTX_noDrug.ERG11_TPO4,B_noMTX_noDrug.MID2_PIN2,B_noMTX_noDrug.HNM1_TPO2,B_noMTX_noDrug.MID2_RSN1,B_noMTX_noDrug.SSH1_PIS1,B_noMTX_noDrug.HUG1_ALO1,B_noMTX_noDrug.MID2_WSC2,B_noMTX_noDrug.PMC1_CTR2,B_noMTX_noDrug.PLM2_HNM1,B_noMTX_noDrug.RET2_SNA3,B_noMTX_noDrug.GTR1_SLM4,B_noMTX_noDrug.ERG27_ACF2,B_noMTX_noDrug.ERV25_UIP4,B_noMTX_noDrug.ERG11_PIS1,B_noMTX_noDrug.noPPI_reference,B_noMTX_noDrug.SSH1_ERV25,B_noMTX_noDrug.HNM1_ERG11,B_noMTX_noDrug.HNM1_MAM33,B_noMTX_noDrug.HNM1_TPO4,B_noMTX_noDrug.HNM1_MID2,B_noMTX_noDrug.ERG11_ERG5,B_noMTX_noDrug.HNM1_TPO1,B_noMTX_noDrug.ADE17_GIS2,B_noMTX_noDrug.SSH1_ERG11,B_noMTX_noDrug.ERV25_EMP47,B_noMTX_noDrug.PLM2_SNA3,B_noMTX_noDrug.MID2_TPO4,B_noMTX_noDrug.HNM1_RBD2,B_noMTX_noDrug.ERV25_ORM2,B_noMTX_noDrug.SNA4_GTR2,B_noMTX_noDrug.TPO1_TPO2,B_noMTX_noDrug.ADE17_HYR1,B_noMTX_noDrug.DHH1_LSM3,B_noMTX_noDrug.FMP45_MEP1,B_noMTX_noDrug.SRO9_DHH1,B_noMTX_noDrug.ERG11_MID2,B_noMTX_noDrug.ALO1_ADE17,B_noMTX_noDrug.ERV25_PIS1,B_noMTX_noDrug.ERG11_HYR1
1005,117.0,5.0,163.0,127.0,12.0,1.0,42.0,11.0,159.0,136.0,241.0,69.0,7.0,187.0,268.0,185.0,12.0,57.0,646.0,14.0,5.0,113.0,291.0,65.0,54.0,65.0,22.0,339.0,225.0,14.0,96.0,265.0,4.0,18.0,99.0,132.0,119.0,19.0,264.0,10.0,10.0,101.0,16.0,72.0,8.0,5.0,30.0,37.0,17.0,154.0,4.0,108.0,45.0,152.0,4.0,67.0,58.0,315.0,116.0,48.0,32.0,55.0
1007,268.0,13.0,220.0,84.0,10.0,3.0,40.0,8.0,351.0,52.0,166.0,313.0,28.0,46.0,72.0,179.0,8.0,13.0,78.0,54.0,120.0,275.0,64.0,166.0,56.0,220.0,101.0,132.0,241.0,6.0,117.0,619.0,4.0,14.0,99.0,68.0,138.0,45.0,259.0,18.0,26.0,200.0,63.0,193.0,344.0,9.0,6.0,27.0,3.0,349.0,8.0,15.0,179.0,63.0,132.0,66.0,70.0,318.0,161.0,276.0,12.0,356.0
1013,8.0,1.0,4.0,2.0,4.0,0.0,6.0,26.0,65.0,27.0,15.0,17.0,4.0,73.0,14.0,49.0,5.0,23.0,20.0,5.0,4.0,122.0,127.0,5.0,4.0,3.0,6.0,22.0,55.0,1.0,19.0,11.0,2.0,44.0,1.0,6.0,6.0,1.0,28.0,4.0,3.0,3.0,9.0,1.0,5.0,1.0,1.0,6.0,3.0,24.0,5.0,21.0,0.0,1.0,1.0,14.0,5.0,2.0,14.0,6.0,27.0,24.0
1016,154.0,1687.0,22.0,116.0,48.0,7.0,8.0,16.0,594.0,259.0,105.0,736.0,1086.0,489.0,582.0,244.0,25.0,8.0,99.0,9.0,12.0,741.0,1195.0,88.0,350.0,9.0,162.0,9.0,211.0,99.0,120.0,11.0,5.0,28.0,101.0,691.0,373.0,298.0,16.0,7.0,23.0,170.0,18.0,180.0,32.0,67.0,15.0,382.0,2.0,718.0,9.0,147.0,398.0,441.0,24.0,546.0,346.0,310.0,19.0,766.0,14.0,32.0
1018,158.0,15.0,115.0,66.0,13.0,4.0,23.0,20.0,525.0,290.0,527.0,203.0,48.0,34.0,474.0,1026.0,18.0,112.0,1267.0,57.0,24.0,238.0,713.0,489.0,30.0,45.0,36.0,19.0,91.0,6.0,161.0,1021.0,18.0,51.0,114.0,425.0,420.0,107.0,773.0,19.0,43.0,49.0,120.0,324.0,22.0,43.0,22.0,289.0,18.0,73.0,80.0,852.0,400.0,63.0,78.0,185.0,53.0,282.0,668.0,351.0,616.0,111.0
1020,344.0,46.0,315.0,429.0,107.0,5.0,36.0,47.0,1253.0,821.0,191.0,222.0,25.0,2116.0,523.0,2069.0,23.0,45.0,156.0,32.0,133.0,3467.0,1110.0,489.0,204.0,379.0,431.0,206.0,5403.0,64.0,1104.0,764.0,37.0,52.0,57.0,324.0,742.0,71.0,837.0,35.0,18.0,29.0,196.0,508.0,80.0,17.0,18.0,289.0,10.0,308.0,72.0,688.0,156.0,1165.0,15.0,144.0,154.0,403.0,627.0,284.0,12.0,281.0
1025,536.0,454.0,384.0,234.0,96.0,17.0,652.0,534.0,1615.0,1595.0,496.0,529.0,165.0,155.0,266.0,1478.0,84.0,189.0,1955.0,76.0,16.0,536.0,2087.0,366.0,220.0,130.0,205.0,549.0,490.0,12.0,715.0,386.0,31.0,886.0,88.0,658.0,870.0,173.0,978.0,30.0,36.0,123.0,239.0,639.0,81.0,439.0,85.0,214.0,40.0,713.0,55.0,1962.0,482.0,1443.0,39.0,1614.0,454.0,1166.0,634.0,174.0,360.0,398.0
1027,411.0,222.0,281.0,216.0,7.0,2.0,2.0,7.0,145.0,301.0,166.0,100.0,28.0,18.0,692.0,231.0,40.0,41.0,39.0,17.0,23.0,21.0,1094.0,42.0,94.0,230.0,162.0,11.0,37.0,11.0,70.0,75.0,4.0,46.0,56.0,448.0,312.0,43.0,1167.0,16.0,15.0,21.0,64.0,144.0,72.0,43.0,13.0,88.0,4.0,94.0,8.0,86.0,204.0,95.0,1067.0,89.0,261.0,225.0,186.0,29.0,300.0,187.0
1035,15.0,4.0,2.0,4.0,2.0,0.0,2.0,2.0,11.0,18.0,40.0,5.0,5.0,6.0,3.0,37.0,3.0,6.0,33.0,2.0,4.0,23.0,34.0,1.0,2.0,4.0,3.0,10.0,21.0,1.0,5.0,7.0,0.0,18.0,0.0,6.0,2.0,4.0,16.0,2.0,4.0,3.0,2.0,2.0,6.0,1.0,2.0,4.0,0.0,11.0,1.0,5.0,2.0,9.0,6.0,29.0,2.0,0.0,6.0,2.0,11.0,9.0
1038,109.0,86.0,467.0,43.0,30.0,3.0,4.0,12.0,52.0,145.0,311.0,151.0,26.0,34.0,207.0,826.0,62.0,64.0,1505.0,76.0,465.0,113.0,82.0,459.0,24.0,341.0,37.0,228.0,296.0,4.0,61.0,380.0,4.0,33.0,122.0,394.0,199.0,117.0,272.0,38.0,67.0,248.0,132.0,210.0,587.0,46.0,121.0,248.0,9.0,12.0,16.0,1462.0,306.0,127.0,297.0,197.0,123.0,109.0,157.0,406.0,32.0,238.0
