PPI,piQTLs
GTR1_SLM4_MTX_Fluconazole,22
RET2_EMP70_MTX_Fluconazole,4
RET2_SNA3_MTX_Fluconazole,7
RET2_EMP47_MTX_Fluconazole,17
PMC1_CTR2_MTX_Fluconazole,10
PMC1_GTR2_MTX_Fluconazole,22
SNA4_GTR2_MTX_Fluconazole,3
SNA4_VAC8_MTX_Fluconazole,5
ERG11_ERV25_MTX_Fluconazole,5
ERG11_HYR1_MTX_Fluconazole,29
ERG11_MID2_MTX_Fluconazole,72
ERG11_ORM2_MTX_Fluconazole,75
SSH1_ERG11_MTX_Fluconazole,27
ERG11_PIS1_MTX_Fluconazole,85
ERG11_ERG5_MTX_Fluconazole,25
ERG11_ACF2_MTX_Fluconazole,11
ERG11_TPO4_MTX_Fluconazole,7
ERV25_UIP4_MTX_Fluconazole,30
ERV25_RBD2_MTX_Fluconazole,2
ERV25_EMP47_MTX_Fluconazole,5
ERV25_ORM2_MTX_Fluconazole,55
SSH1_ERV25_MTX_Fluconazole,32
ERV25_ERG5_MTX_Fluconazole,34
ERV25_PIS1_MTX_Fluconazole,11
ERG27_ACF2_MTX_Fluconazole,14
SSH1_ORM2_MTX_Fluconazole,18
SSH1_PIS1_MTX_Fluconazole,14
PLM2_SNA3_MTX_Fluconazole,6
TPO1_TCB2_MTX_Fluconazole,16
TPO1_TPO2_MTX_Fluconazole,18
FMP45_HNM1_MTX_Fluconazole,19
HNM1_ERG11_MTX_Fluconazole,29
HNM1_RBD2_MTX_Fluconazole,29
HNM1_MID2_MTX_Fluconazole,23
PLM2_HNM1_MTX_Fluconazole,22
HNM1_MAM33_MTX_Fluconazole,12
HNM1_TPO4_MTX_Fluconazole,15
HNM1_TPO1_MTX_Fluconazole,3
HNM1_TPO2_MTX_Fluconazole,3
FMP45_MEP1_MTX_Fluconazole,14
FMP45_MID2_MTX_Fluconazole,19
MID2_MAM33_MTX_Fluconazole,3
MID2_PIN2_MTX_Fluconazole,14
MID2_RSN1_MTX_Fluconazole,9
MID2_TPO4_MTX_Fluconazole,12
TPO1_MID2_MTX_Fluconazole,19
MID2_TPO2_MTX_Fluconazole,4
MID2_WSC2_MTX_Fluconazole,4
DHH1_LSM3_MTX_Fluconazole,25
SRO9_SGN1_MTX_Fluconazole,42
SRO9_DHH1_MTX_Fluconazole,14
ALO1_HYR1_MTX_Fluconazole,6
ADE17_HYR1_MTX_Fluconazole,29
ALO1_UIP4_MTX_Fluconazole,12
HUG1_ALO1_MTX_Fluconazole,11
ALO1_ADE17_MTX_Fluconazole,48
ADE17_GIS2_MTX_Fluconazole,18
HUG1_ADE17_MTX_Fluconazole,3
ADE17_PGM2_MTX_Fluconazole,24
HUG1_PGM2_MTX_Fluconazole,4
SRO9_GIS2_MTX_Fluconazole,49
