SNP,CHR,BP,EFFECTSIZE,SE,P,locus_id,GENE,sgd_id,snps_class_up,snps_class_down,description,genome_annotations,SNP_ID
1,1,1025,0.0175862937707925,0.170692305477145,0.917998291027018,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter,CHR1_1
2,1,1035,0.0116069190560504,0.172561153906046,0.946410697643573,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter,CHR1_2
3,1,1074,-0.0855797695872793,0.291582495989097,0.76931167191232,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF,CHR1_3
4,1,1470,-0.0270061453418897,0.290564357561704,0.926000963468182,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF,CHR1_4
5,1,1475,0.0741283763842793,0.21443354566944,0.729778664338437,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF,CHR1_5
6,1,1491,0.0343509262281492,0.187597371564121,0.854816952466525,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF,CHR1_6
7,1,21249,-1.41315453867851,1.07441042367215,0.189268264246673,YAL064W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter,CHR1_7
8,1,27243,-0.149292430148542,0.146715474910208,0.309581959628246,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF,CHR1_8
9,1,27272,-0.0555010118056313,0.144693780245644,0.701523897308036,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF,CHR1_9
10,1,27498,-0.168846430966854,1.32155743667829,0.898409110767484,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF,CHR1_10
11,1,27561,0.96470855298552,0.997099540538501,0.333949147897326,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF,CHR1_11
12,1,27816,0.0943600187864932,0.147591571821743,0.523021613210155,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF,CHR1_12
13,1,27822,0.0859983344552261,0.147418262015938,0.560021591310735,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF,CHR1_13
14,1,27823,0.0891903298305939,0.150452393941081,0.553685014139651,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF,CHR1_14
