SNP,Chr,Pos,Effect,SE,ERV25_ORM2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1,1,1025,0.0701371893533094,0.184386347240522,0.703890889626517,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter
2,1,1035,0.156285832958721,0.186256061539807,0.401985967517133,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter
3,1,1074,0.289278922244966,0.31469695364571,0.35860290571409,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
4,1,1470,0.518084691776643,0.312725386245693,0.0984734816550596,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
5,1,1475,0.394002474570632,0.230769119127589,0.08863726116665,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
6,1,1491,0.362066589821274,0.201777605391624,0.0736073732480445,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
7,1,21249,0.853162192823381,1.16278163129079,0.463603257132621,YAL064W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8,1,27243,0.186700037268048,0.158437031797294,0.239436347103596,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
9,1,27272,0.0876238689726492,0.156294741115965,0.575403930271735,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
10,1,27498,1.6564885461477,1.42516087722221,0.245891984146946,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
11,1,27561,0.817173315830418,1.07784810527777,0.448865499843089,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
12,1,27816,-0.0433249696305928,0.159538228393771,0.786115402216195,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
13,1,27822,-0.0348238878685951,0.159341324595924,0.827127675839306,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
14,1,27823,-0.045702933552156,0.162616221748373,0.778838386607837,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
15,1,27825,-0.0285919468840992,0.159344837636238,0.857699564255236,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
16,1,27843,0.037906012600849,0.152651340271693,0.804033085481218,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
17,1,27848,0.037906012600849,0.152651340271693,0.804033085481218,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
18,1,28495,0.0340047842298644,0.152656415442167,0.823856023133877,YAL063C,FLO9,SGDID:S000000059,Close to 3'-UTR,Close to 3'-UTR,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
19,1,28975,0.0349869087485723,0.151635217833387,0.817657641276702,A:27969-30945,,,Intergenic region,Intergenic region,between YAL063C and ARS104,Intergenic region
20,1,29283,-0.162722086181169,0.339737383906516,0.632260562160792,A:27969-30945,,,Intergenic region,Intergenic region,between YAL063C and ARS104,Intergenic region
21,1,29752,-0.174027184727853,0.354194072952899,0.623496387713218,XUT_1F-15_NFR/NDR,,,Promoter,Promoter,,Promoter
22,1,29787,1.22479198425544,0.95651893041891,0.201221274258926,XUT_1F-15_NFR/NDR,,,Promoter,Promoter,,Promoter
23,1,30057,0.0712717155216644,0.310834015154241,0.818774856117997,XUT_1F-15,,,Unstable transcript,XUT,ncRNA_STM,Unstable transcript
