SNP,SNPs_localization,GENE,snps_class_down,CLOSEST_GENE,description,Human_homologs
1,X1L_NFR/NDR,,Promoter,,,
2,X1L_NFR/NDR,,Promoter,,,
3,YAL069W,YAL069W,Close to 3'-UTR,YAL069W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",
4,YAL069W,YAL069W,Close to 3'-UTR,YAL069W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",
5,YAL069W,YAL069W,Close to 3'-UTR,YAL069W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",
6,YAL069W,YAL069W,Close to 3'-UTR,YAL069W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",
7,YAL064W_NFR/NDR,,Promoter,YAL064W,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",
8,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
9,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
10,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
11,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
12,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
13,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
14,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
15,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
16,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
17,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
18,YAL063C,FLO9,Close to 3'-UTR,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",
19,A:27969-30945,,Intergenic region,,,
20,A:27969-30945,,Intergenic region,,,
21,XUT_1F-15_NFR/NDR,,Promoter,,,
22,XUT_1F-15_NFR/NDR,,Promoter,,,
23,XUT_1F-15,,XUT,,,
24,XUT_1F-15,,XUT,,,
25,XUT_1F-15,,XUT,,,
26,YAL062W,GDH3,Close to 3'-UTR,GDH3,"""NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog ; GDH1 ; that arose from the whole genome duplication""","GLUD1, GLUD2"
27,YAL061W,BDH2,Close to 3'-UTR,BDH2,"""Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3""",
28,YAL061W,BDH2,Close to 3'-UTR,BDH2,"""Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3""",
29,YAL060W,BDH1,Verified ORF,BDH1,"""NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin ; oxidation of meso-butanediol to (3S)-acetoin ; and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source""",
30,YAL058W_NFR/NDR,,Promoter,CNE1,"""Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p ; with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast""","CANX, CLGN"
31,YAL058W_NFR/NDR,,Promoter,CNE1,"""Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p ; with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast""","CANX, CLGN"
32,YAL058W,CNE1,Verified ORF,CNE1,"""Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p ; with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast""","CANX, CLGN"
33,YAL056W_NFR/NDR,,Promoter,GPB2,"""Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p ; thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog ; GPB1 ; that arose from the whole genome duplication""",
34,YAL056W,GPB2,Verified ORF,GPB2,"""Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p ; thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog ; GPB1 ; that arose from the whole genome duplication""",
35,YAL054C_NFR/NDR,,Promoter,ACS1,"""Acetyl-coA synthetase isoform; along with Acs2p ; acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions""","ACSS1, ACSS2"
36,YAL053W_NFR/NDR,,Promoter,FLC2,"""Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog ; YOR365C ; that arose from the whole genome duplication""",
37,YAL051W,OAF1,Verified ORF,OAF1,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",
38,YAL051W,OAF1,Verified ORF,OAF1,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",
39,YAL049C,AIM2,Verified ORF,AIM2,"""Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor""",CMBL
40,YAL049C_NFR/NDR,,Promoter,AIM2,"""Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor""",CMBL
41,YAL047C,SPC72,Verified ORF,SPC72,"""Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB ; connecting nuclear microtubules to the SPB; involved in astral microtubule formation ; stabilization ; and with Stu2p ; anchoring astral MTs at the cytoplasmic face of the SPB ; and regulating plus-end MT dynamics; regulated by Cdc5 kinase""",
42,YAL043C,PTA1,Verified ORF,PTA1,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",SYMPK
43,YAL043C,PTA1,Verified ORF,PTA1,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",SYMPK
44,YAL042W,ERV46,Verified ORF,ERV46,"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport""",ERGIC3
45,YAL041W,CDC24,Verified ORF,CDC24,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42""","PLEKHG4B, KALRN"
46,YAL041W,CDC24,Close to 3'-UTR,CDC24,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42""","PLEKHG4B, KALRN"
47,YAL041W,CDC24,Close to 3'-UTR,CDC24,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42""","PLEKHG4B, KALRN"
48,YAL041W,CDC24,Close to 3'-UTR,CDC24,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42""","PLEKHG4B, KALRN"
49,YAL040C,CLN3,Verified ORF,CLN3,"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1""","CCNE2, CCNA1, CCNA2, CCNF, CCND2, CCNE1, CCND1, CCNP, CCND3, CCNJL, CCNJ"
