locus_id,name,sgd_id,genome_annotations,chrom,start,end,description,genome_version
YAL069W,YAL069W,SGDID:S000002143,Dubious ORF,CHR_1,335,649,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Genome Release 64-3-1
YAL068W-A,YAL068W-A,SGDID:S000028594,Dubious ORF,CHR_1,538,792,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; identified by gene-trapping ; microarray-based expression analysis ; and genome-wide homology searching""",Genome Release 64-3-1
YAL068C,PAU8,SGDID:S000002142,Verified ORF,CHR_1,1807,2169,"""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions""",Genome Release 64-3-1
YAL067W-A,YAL067W-A,SGDID:S000028593,Uncharacterized ORF,CHR_1,2480,2707,"""Putative protein of unknown function; identified by gene-trapping ; microarray-based expression analysis ; and genome-wide homology searching""",Genome Release 64-3-1
YAL067C,SEO1,SGDID:S000000062,Verified ORF,CHR_1,7235,9016,"""Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide""",Genome Release 64-3-1
YAL066W,YAL066W,SGDID:S000000061,Dubious ORF,CHR_1,10091,10399,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Genome Release 64-3-1
YAL065C,YAL065C,SGDID:S000001817,Uncharacterized ORF,CHR_1,11565,11951,"""Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins""",Genome Release 64-3-1
YAL064W-B,YAL064W-B,SGDID:S000002141,Uncharacterized ORF,CHR_1,12046,12426,"""Fungal-specific protein of unknown function""",Genome Release 64-3-1
YAL064C-A,TDA8,SGDID:S000002140,Uncharacterized ORF,CHR_1,13363,13743,"""Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene""",Genome Release 64-3-1
YAL064W,YAL064W,SGDID:S000000060,Verified ORF,CHR_1,21566,21850,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments""",Genome Release 64-3-1
YAL063C-A,YAL063C-A,SGDID:S000028813,Uncharacterized ORF,CHR_1,22395,22685,"""Putative protein of unknown function; identified by expression profiling and mass spectrometry""",Genome Release 64-3-1
YAL063C,FLO9,SGDID:S000000059,Verified ORF,CHR_1,24000,27968,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Genome Release 64-3-1
YAL062W,GDH3,SGDID:S000000058,Verified ORF,CHR_1,31567,32940,"""NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog ; GDH1 ; that arose from the whole genome duplication""",Genome Release 64-3-1
YAL061W,BDH2,SGDID:S000000057,Uncharacterized ORF,CHR_1,33448,34701,"""Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3""",Genome Release 64-3-1
