SNP,PPI,Chr,Pos,Effect_5.FC,-log_pval,snps_class_up,snps_class_down,locus_id,name,sgd_id,description,Effect_noDrug
10482,ERG11:ORM2,15,487554.0,-0.386567053478921,3.1973775724090947,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,-0.491763531263431
4528,HUG1:PGM2,7,739112.0,-0.675633868032816,3.7073402253592223,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,-0.603926652662348
4528,HUG1:ALO1,7,739112.0,-0.646230253382703,3.639217984237624,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,-0.582022847132895
4528,noPPI:reference,7,739112.0,-0.623907794131845,3.0669794294260457,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,-0.615297790858535
8778,TPO1:TCB2,13,463519.0,0.606034801952053,3.893911593212958,Promoter,Promoter,tD(GUC)M_NFR/NDR,0,0,0,0.589182826834993
8778,RET2:EMP70,13,463519.0,0.339322701915212,3.307584825656458,Promoter,Promoter,tD(GUC)M_NFR/NDR,0,0,0,0.33950707014296
1068,ADE17:HYR1,3,177081.0,-0.546624678463768,3.391983635518402,Promoter,Promoter,snR65_NFR/NDR,0,0,0,-0.506615563503268
1835,HUG1:ADE17,4,542062.0,0.548553701582465,3.450704589196109,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.564177643065585
11924,PLM2:HNM1,16,850422.0,-0.563433384655574,3.934593032046675,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.554929814636049
11924,PMC1:CTR2,16,850422.0,-0.618429011393372,3.9274801194983366,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.576200629277479
11924,TPO1:TCB2,16,850422.0,-0.596758516055667,3.837315270705881,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.584617764984451
11924,ERV25:UIP4,16,850422.0,-0.59738812483632,3.400673747701991,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.58260348434478
11924,PMC1:GTR2,16,850422.0,-0.554705305226249,3.3797811215786013,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.569512561923357
11924,ALO1:ADE17,16,850422.0,-0.562345572908169,3.363323022468653,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.577697766848051
11924,ERG27:ACF2,16,850422.0,-0.520098635266018,3.1757830575017585,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.533491426240823
11924,TPO1:MID2,16,850422.0,-0.50397327811371,3.162878318365724,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.559872397745357
11924,TPO1:TPO2,16,850422.0,-0.446975862480135,3.120994587816934,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.634401105541188
11951,TPO1:TCB2,16,882230.0,-0.549499099370632,3.282921658874007,Close to 3'-UTR,Close to 3'-UTR,YPR170C,YPR170C,SGDID:S000006374,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps ORFs YPR169W-A and YPR170W-B""",-0.549542501906696
11949,TPO1:TCB2,16,879779.0,-0.542065932612478,3.21792613188518,ORF,Verified ORF,YPR169W,JIP5,SGDID:S000006373,"""Protein required for biogenesis of the large ribosomal subunit; required for biogenesis of the large ribosomal subunit; interacts with proteins involved in RNA processing ; ribosome biogenesis ; ubiquitination and demethylation; similar to WDR55 ; a human WD repeat protein; essential gene""",-0.545968037357148
11943,PMC1:CTR2,16,870388.0,-0.608290251543813,3.584919123840618,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,-0.598087193363554
