SNP,PPI,Chr,Pos,Effect_Metformin,-log_pval,snps_class_up,snps_class_down,locus_id,name,sgd_id,description,Effect_noDrug
4528,HUG1:ALO1,7,739112.0,-0.579841119531891,4.042422141354314,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,-0.582022847132895
8778,TPO1:TCB2,13,463519.0,0.521281753682015,3.987934322596508,Promoter,Promoter,tD(GUC)M_NFR/NDR,0,0,0,0.589182826834993
1068,ADE17:HYR1,3,177081.0,-0.580934907790561,4.449497673036192,Promoter,Promoter,snR65_NFR/NDR,0,0,0,-0.506615563503268
11943,ALO1:ADE17,16,870388.0,-0.484471206133808,3.5086938258826934,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,-0.633009130121028
11946,ALO1:ADE17,16,873367.0,-0.487672163051122,3.709703432141633,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.662720098389134
11946,TPO1:TPO2,16,873367.0,-0.414286069509783,3.177476639227966,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.658583094411946
11946,TPO1:TCB2,16,873367.0,-0.454544957869593,3.1207701000806787,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.604731646952858
11945,ALO1:ADE17,16,873246.0,-0.445598106750909,3.169612409611848,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.62739378587452
11944,ALO1:ADE17,16,873212.0,-0.503042985718221,3.903237262854232,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.668706091954634
11944,ERG27:ACF2,16,873212.0,-0.474343407657131,3.169487389183874,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.660351603135435
