seq_id,source,type,start,end,score,strand,phase,attributes,locus_id
I,Xu_2009_SUTs,transcript,5075,6237,.,-,.,ID=ST3634;Name=SUT432;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=NA;expr_in_YPGal/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT432
I,Xu_2009_SUTs,transcript,9368,9600,.,+,.,ID=ST0001;Name=SUT001;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=ST3635;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=1.06840523057098;expr_in_YPGal/YPD=1.09236613528596;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=2.21538271889587;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=0.766073649067411,SUT001
I,Xu_2009_SUTs,transcript,28083,29772,.,-,.,ID=ST3637;Name=SUT433;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=NA;expr_in_YPGal/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT433
I,Xu_2009_SUTs,transcript,31484,32748,.,-,.,ID=ST3639;Name=SUT434;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST0003;expr_in_YPE/YPD=-0.744560247067935;expr_in_YPGal/YPD=-0.501235998664193;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=2.63343651740522;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=1.11084094982553;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT434
I,Xu_2009_SUTs,transcript,33076,34380,.,-,.,ID=ST3640;Name=SUT435;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST0004;expr_in_YPE/YPD=-3.17711009143413;expr_in_YPGal/YPD=-1.82136825125943;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=2.36092127154586;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=1.0509319891883;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT435
I,Xu_2009_SUTs,transcript,43440,45328,.,+,.,"ID=ST0010;Name=SUT002;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3643,ST3644;expr_in_YPE/YPD=-1.3842262100434;expr_in_YPGal/YPD=-0.584090896952045;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=2.62459575601235,5.770677252;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.399216167494247,0;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA",SUT002
I,Xu_2009_SUTs,transcript,68718,69486,.,+,.,ID=ST0016;Name=SUT003;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3653;expr_in_YPE/YPD=0.095038938745624;expr_in_YPGal/YPD=-0.512291652157053;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=-0.189748915392117;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.0329573046429301;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT003
I,Xu_2009_SUTs,transcript,191617,192201,.,-,.,ID=ST3678;Name=SUT436;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST0045;expr_in_YPE/YPD=1.02676940980375;expr_in_YPGal/YPD=-0.160189376499046;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=2.85360510241201;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.383333905188615;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT436
I,Xu_2009_SUTs,transcript,198781,199902,.,+,.,ID=ST0047;Name=SUT004;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=NA;expr_in_YPGal/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT004
II,Xu_2009_SUTs,transcript,45288,45464,.,-,.,ID=ST3688;Name=SUT437;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=ST0053;shares_5NFR_in_tandem_with=ST3687;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=0.789078480272336;expr_in_YPGal/YPD=-0.55387264597228;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=-0.0751926488430348;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.502617885422804,SUT437
II,Xu_2009_SUTs,transcript,46788,47132,.,+,.,ID=ST0054;Name=SUT005;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3689;expr_in_YPE/YPD=0.0501525537850618;expr_in_YPGal/YPD=-0.601876218628508;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=-0.112729792656175;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.21392417425606;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT005
II,Xu_2009_SUTs,transcript,126208,127560,.,-,.,ID=ST3710;Name=SUT438;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST0072;expr_in_YPE/YPD=-1.37924370598398;expr_in_YPGal/YPD=-0.144950672502458;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=2.3937177323358;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.560146364418571;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT438
II,Xu_2009_SUTs,transcript,164468,165004,.,+,.,ID=ST0081;Name=SUT006;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST3722;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=1.65290288950896;expr_in_YPGal/YPD=0.516137410126477;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=0.912576190077654;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.525929369286395;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT006
II,Xu_2009_SUTs,transcript,166136,166952,.,-,.,ID=ST3723;Name=SUT439;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST0082;expr_in_YPE/YPD=0.251046842381535;expr_in_YPGal/YPD=0.718007849973554;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=-0.135952786633212;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.0407587307716017;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT439
II,Xu_2009_SUTs,transcript,169376,169928,.,-,.,ID=ST3725;Name=SUT440;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST0083;expr_in_YPE/YPD=-0.059065917532827;expr_in_YPGal/YPD=-0.299512170859325;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=-1.56984865882751;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.283207625400674;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT440
II,Xu_2009_SUTs,transcript,170104,170456,.,-,.,ID=ST3726;Name=SUT441;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=ST0084;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=0.219597590080833;expr_in_YPGal/YPD=-0.186300306158289;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=-0.135732231902304;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.0921919245267313,SUT441
II,Xu_2009_SUTs,transcript,196308,196732,.,+,.,ID=ST0091;Name=SUT007;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=NA;expr_in_YPGal/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=NA;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT007
II,Xu_2009_SUTs,transcript,235897,236217,.,-,.,ID=ST3737;Name=SUT442;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=ST0099;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-1.17270647096512;expr_in_YPGal/YPD=-0.775683567511323;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=-0.342245028677043;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.431688427565117;expr_of_SUT_sharing_5NFR_in_YPE/YPD=-0.342245028677043;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=-0.431688427565117,SUT442
II,Xu_2009_SUTs,transcript,238398,238894,.,+,.,ID=ST0101;Name=SUT008;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3739;expr_in_YPE/YPD=-0.130019404616419;expr_in_YPGal/YPD=-0.603123971446535;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=0.513467825986825;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=0.485757731687573;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT008
II,Xu_2009_SUTs,transcript,241686,242790,.,+,.,ID=ST0102;Name=SUT009;end_confidence=mapped5;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=ST3740;expr_in_YPE/YPD=0.756281222737333;expr_in_YPGal/YPD=0.849302178196568;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=-0.978913691358144;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.0282500243206067;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT009
II,Xu_2009_SUTs,transcript,246810,248538,.,-,.,ID=ST3742;Name=SUT443;end_confidence=bothEndsMapped;source=Manual;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST0105;initiates_from_3NFR_of_and_same_strand_to=NA;sense_antisense_pair_with=NA;expr_in_YPE/YPD=-1.59224585229617;expr_in_YPGal/YPD=-0.582974987013874;expr_of_SUT_in_sense_antisense_pair_in_YPE/YPD=0.506489739924563;expr_of_SUT_in_sense_antisense_pair_in_YPGal/YPD=-0.0764805723180193;expr_of_SUT_sharing_5NFR_in_YPE/YPD=NA;expr_of_SUT_sharing_5NFR_in_YPGal/YPD=NA,SUT443
