SNP,PPI,Chr,Pos,Effect_Trifluoperazine,-log_pval,snps_class_up,snps_class_down,locus_id,name,sgd_id,description,Effect_noDrug
8778,ERG11:ORM2,13,463519.0,0.434053203015199,3.491130386262753,Promoter,Promoter,tD(GUC)M_NFR/NDR,0,0,0,0.494164959089976
8778,TPO1:TCB2,13,463519.0,0.439315580087371,3.0081923922138114,Promoter,Promoter,tD(GUC)M_NFR/NDR,0,0,0,0.589182826834993
1068,ADE17:HYR1,3,177081.0,-0.539093779499812,3.2870648541547327,Promoter,Promoter,snR65_NFR/NDR,0,0,0,-0.506615563503268
1835,ERV25:RBD2,4,542062.0,0.490760345870813,3.157308817784532,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.553600617408644
11924,TPO1:TPO2,16,850422.0,-0.595756092054921,3.828259966574511,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.634401105541188
11924,TPO1:MID2,16,850422.0,-0.569438381606903,3.707815619121949,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.559872397745357
11924,PLM2:HNM1,16,850422.0,-0.513063831784186,3.676572441007055,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.554929814636049
11924,ALO1:ADE17,16,850422.0,-0.527158797005041,3.51531786074854,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.577697766848051
11924,PMC1:GTR2,16,850422.0,-0.553721420183924,3.252232140426042,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.569512561923357
11924,SRO9:DHH1,16,850422.0,-0.48762674722109,3.028912845451867,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",-0.471073643943414
11943,ALO1:ADE17,16,870388.0,-0.564343293462614,3.725368337553475,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,-0.633009130121028
11943,PMC1:GTR2,16,870388.0,-0.583538741397844,3.3515513281909954,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,-0.595359676645693
11943,TPO1:TPO2,16,870388.0,-0.56740088073958,3.3040788814498985,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,-0.615987838336282
11946,ALO1:ADE17,16,873367.0,-0.589357809927661,4.207360418790427,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.662720098389134
11946,TPO1:TPO2,16,873367.0,-0.625770519979446,4.10375622443297,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.658583094411946
11946,ERG27:ACF2,16,873367.0,-0.588854069553324,3.931838114079035,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.643100872655107
11946,HUG1:ALO1,16,873367.0,-0.542781831163621,3.836850072088261,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.56701798845418
11946,PMC1:GTR2,16,873367.0,-0.606912312095233,3.752254316354483,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.616650223610816
11946,HNM1:ERG11,16,873367.0,-0.549140826416773,3.4038371710454265,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.628400519740368
11946,TPO1:MID2,16,873367.0,-0.541711586666646,3.337961531700632,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.581266658503552
11946,ERV25:ERG5,16,873367.0,-0.51795839098028,3.30192352411455,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.58293355230684
11946,ERG11:ACF2,16,873367.0,-0.500757805659274,3.16210519009024,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.568531874479143
11946,PLM2:HNM1,16,873367.0,-0.47518527967084,3.159896996947343,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.502184506592654
11946,PMC1:CTR2,16,873367.0,-0.551841701560931,3.1458187224515166,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.633981860188604
11945,ERG27:ACF2,16,873246.0,-0.573277982221102,3.750699081374787,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",-0.630367922967173
